0:0:10 | [CMD] GravLaunch(25) => /work
0:0:13 | [CMD] Jodor(18) => /c evet fýrlattýn beni :D
0:0:24 | [CMD] Jodor(18) => /c lagda olduðun belli
0:0:27 | loquen1981(6) oyuna girdi [IP: 190.253.23.124]
0:0:30 | Freezer3543(27): Tmm
0:0:33 | [CMD] Jodor(18) => /c bu oyundan sonra bi relog yap
0:0:38 | [CMD] SoOoPoL(15) => /work
0:0:40 | [CMD] Bonnet237(29) => /convoy
0:0:40 | [CMD] CagatayBro(13) => /c tamam
0:0:44 | [CMD] bay.potiy(14) => /yoneticiler
0:0:44 | Jodor(18): freezer mafyacýlýk yap
0:0:45 | [CMD] SoOoPoL(15) => /goreviptak
0:0:49 | [CMD] bay.potiy(14) => /yonetim
0:0:51 | Jodor(18): ama kardeþim sen abartýyorsun
0:0:53 | [CMD] SoOoPoL(15) => /goreviptal
0:0:55 | Jodor(18): sürekli sürekli
0:0:59 | [CMD] SoOoPoL(15) => /work
0:1:0 | Jodor(18): insanlar haliyle bezdi senden
0:1:4 | GravLaunch(25): vallaha ya
0:1:4 | TunlordBeyWT(10): convoya gelmek isteyenler
0:1:6 | Freezer3543(27): Aga kacak esya tasýya tasýya nereye kadar
0:1:8 | ASLANBEY(12): nerde 
0:1:8 | [CMD] huso608(8) => /asay VIP Fiyatlarý 7 Günlük 15 TL 30 Günlük 25 TL 60 Günlük 40 TL 90 Günlü4k 60 TL... 
0:1:9 | loquen1981(6) Yol Iscisi olarak spawn oldu.
0:1:9 | Dark_Alone_(24): bi dur
0:1:11 | Freezer3543(27): Dorsede iyi para var
0:1:15 | loquen1981(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:1:16 | GravLaunch(25): dorse çala çala nereye kadar peki
0:1:17 | Alehart206(9): omaz
0:1:23 | Jodor(18): týrcýlar mekanýný deðiþtirelim ismini :D
0:1:23 | ASLANBEY(12): convoy nerde
0:1:26 | [CMD] ASLANBEY(12) => /work
0:1:26 | Alehart206(9): 23 :D
0:1:28 | Jodor(18): mafyacýlar mekaný yapalým :D
