0:0:5 | [CMD] Freezer3543(6) => /tamir
0:0:7 | sezzer(0): ne biçim polissiniz
0:0:19 | [CMD] Konyali42(15) => /rescue
0:0:22 | [LOCAL]sezzer(0): yalanýn da bu kadarý mk ajsgdjhags
0:0:22 | [CMD] sezzer(0) => /l yalanýn da bu kadarý mk ajsgdjhags
0:0:25 | [KAMYONCU] DarkFlow, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 281352$, 1 Skor ve 5 EXP Sure: 560 Saniye
0:0:27 | [LOCAL]Freezer3543(6): askjdmjaklsmdw
0:0:27 | [CMD] Freezer3543(6) => /l askjdmjaklsmdw
0:0:33 | [CMD] huso608(8) => /myskin 249
0:0:43 | [CMD] DarkFlow(9) => /srespawncars
0:0:50 | [CMD] DarkFlow(9) => /sirket
0:1:3 | [CMD] DarkFlow(9) => /rescue
0:1:4 | [LOCAL]sezzer(0): çay alýp gelcem
0:1:4 | [CMD] sezzer(0) => /l çay alýp gelcem
0:1:19 | [CMD] Freezer3543(6) => /tamir
0:1:24 | sezzer(0) Mafya olarak spawn oldu.
0:1:35 | [CMD] DarkFlow(9) => /kemer
0:2:7 | [CMD] sezzer(0) => /rescue
0:2:17 | sezzer(0): freez gazlama yanýma çekcem seni
0:2:23 | sezzer(0): ne ara öldüm lo
0:2:25 | [CMD] sezzer(0) => /araba
0:2:32 | Konyali42(15): sezer
0:2:35 | sezzer(0): bas ba s bas
0:2:36 | Konyali42(15): oldumu simdi
0:2:37 | sezzer(0): he
0:2:41 | Freezer3543(6): :Dw
0:2:45 | sezzer(0): knk  lv deyiz yine
0:2:48 | Konyali42(15): adamin pesindeydim sen cekiyorsun
0:2:50 | Freezer3543(6): Mafya dostlugu
0:3:1 | sezzer(0): olm çay almaya gittim geldim ölmüþüm
0:3:7 | [CMD] sezzer(0) => /kemer
0:3:40 | [CMD] Freezer3543(6) => /tamir
0:3:52 | Freezer3543(6): :D
0:3:55 | Freezer3543(6): Pusuya bak :D
0:3:59 | sezzer(0): sakhgdjaghsd
0:4:0 | [CMD] kamala(10) => /work
0:4:7 | [CMD] Freezer3543(6) => /tamir
0:4:9 | sezzer(0): sýkýyo lan
0:4:15 | sezzer(0): aksjgdjhgad
0:4:17 | Freezer3543(6): C res
0:4:19 | [CMD] huso608(8) => /cantazele
0:4:21 | sezzer(0): can res
0:4:23 | [CMD] Freezer3543(6) => /tamir
0:4:24 | Konyali42(15): yok birde gecin diyecektim
0:4:27 | Freezer3543(6): :D
0:4:27 | sezzer(0): saghdajghsd
0:4:28 | Konyali42(15): la ne can resii
0:4:29 | Konyali42(15): admin
0:4:37 | sezzer(0): bassan vuramazdý freez :D
0:4:38 | Konyali42(15): adam öldürüyorum canres yapiyorsun
0:4:58 | [CMD] Freezer3543(6) => /tamir
0:5:14 | [CMD] Freezer3543(6) => /tamir
0:5:37 | [CMD] Konyali42(15) => /tamir
0:5:40 | [CMD] Freezer3543(6) => /tamir
0:6:13 | [CMD] kamala(10) => /tamir
0:6:15 | sezzer(0): belki kasa buluruz he free :D
0:6:25 | Freezer3543(6): Yer biliyorum :D
0:6:29 | [CMD] DarkFlow(9) => /meslek
0:6:30 | [CMD] Konyali42(15) => /tamir
0:6:31 | sezzer(0): muhtemelen almýþýmdýr
0:6:33 | [CMD] DarkFlow(9) => /rescue
0:6:35 | sezzer(0): 29 topladým
0:6:42 | [CMD] Freezer3543(6) => /tamir
0:7:6 | [CMD] Konyali42(15) => /tamir
0:7:13 | [CMD] Freezer3543(6) => /tamir
0:7:14 | [CMD] huso608(8) => /sac
0:7:18 | [CMD] Freezer3543(6) => /tamir
0:7:19 | [CMD] Konyali42(15) => /skapat
0:7:35 | [CMD] Konyali42(15) => /adminol
0:7:37 | Konyali42(15): bb
0:7:39 | sezzer(0): bb
0:7:39 | huso608(8): ßß
0:7:41 | Konyali42(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:7:41 | DarkFlow(9): ßß
0:7:47 | kamala(10): oh be :D
0:7:48 | [CMD] DarkFlow(9) => /karakol
0:7:49 | kamala(10): bb
0:7:51 | [CMD] DarkFlow(9) => /cezaode
0:8:11 | Freezer3543(6): Yok mu soyle 11 yýldýz parasý isteyen :D
0:8:29 | [CMD] DarkFlow(9) => /araba
0:8:31 | [CMD] Freezer3543(6) => /tamir
0:8:38 | [CMD] Freezer3543(6) => /tamir
0:8:39 | sezzer(0): noluyo la
0:8:44 | kamala(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:45 | sezzer(0): inf ön kaldýrdý
0:9:28 | [CMD] Freezer3543(6) => /tami
0:9:29 | [CMD] Freezer3543(6) => /tamir
