0:0:3 | [CMD] ScrappeR(7) => /gobus
0:0:3 | [eN]Overlord(10): nabýyosun
0:0:6 | [CMD] Fublary3003(12) => /sa
0:0:7 | [SirketCHT] ASLANBEY(9): !frezer
0:0:8 | [CMD] ScrappeR(7) => /icerigir
0:0:10 | [SirketCHT] Freezer3543(0): ! Efem
0:0:10 | [CMD] ScrappeR(7) => /isyerimenu
0:0:11 | [CMD] Fublary3003(12) => /meslek
0:0:12 | [SirketCHT] ASLANBEY(9): !takip yapma
0:0:12 | [CMD] Konyali42(18) => /as
0:0:14 | [CMD] ScrappeR(7) => /isyerimenu
0:0:16 | [SirketCHT] Freezer3543(0): ! Tamam
0:0:17 | [CMD] Fublary3003(12) => /karakol
0:0:18 | [CMD] HeRquL(6) => /a senin vajinan çook sýcak fýrýn gibi börek soksak piþer .SDA:asd
0:0:22 | [CMD] huso608(13) => /as
0:0:22 | [CMD] HeRquL(6) => /cc
0:0:24 | [CMD] Fublary3003(12) => /cezaode
0:0:24 | [CMD] Moskova_Kurdu(11) => /a qklwegbqne q
0:0:26 | [CMD] Fublary3003(12) => /meslek
0:0:27 | ScrappeR(7): 3m lazým
0:0:28 | {FFCC00}Fublary3003(12) {FFFFFF}Polis olarak spawn oldu.
0:0:32 | [eN]Overlord(10): banada
0:0:33 | [CMD] [eN]Overlord(10) => /tamir
0:0:33 | [CMD] ScrappeR(7) => /sirket
0:0:34 | [LOCAL]EvoturK(16): la niye crtemizle yaptýn
0:0:34 | [CMD] EvoturK(16) => /l la niye crtemizle yaptýn
0:0:36 | [LOCAL]EvoturK(16): göremedim yazýyý
0:0:36 | [CMD] EvoturK(16) => /l göremedim yazýyý
0:0:37 | [SirketCHT] Freezer3543(0): ! Tamam
0:0:38 | [LOCAL]HeRquL(6): senin vajinan çook sýcak fýrýn gibi börek soksak piþer .SDA:asd 
0:0:38 | [CMD] HeRquL(6) => /l senin vajinan çook sýcak fýrýn gibi börek soksak piþer .SDA:asd 
0:0:40 | [LOCAL]EvoturK(16): diðer ekrana bakýyodum
0:0:40 | [CMD] EvoturK(16) => /l diðer ekrana bakýyodum
0:0:41 | [CMD] ScrappeR(7) => /rescue
0:0:42 | [LOCAL]EvoturK(16): nays asfsa
0:0:42 | [CMD] EvoturK(16) => /l nays asfsa
0:0:43 | [CMD] Freezer3543(0) => /tamir
0:0:46 | [CMD] Fublary3003(12) => /rescue
0:0:49 | [LOCAL]HeRquL(6): annadýn mý
0:0:49 | [CMD] HeRquL(6) => /l annadýn mý
0:0:51 | prpreis12(15) oyuna girdi [IP: 78.190.160.226]
0:0:52 | ScrappeR(7): kargocu ortak varmý
0:0:52 | [LOCAL]EvoturK(16): asfsaf
0:0:52 | [CMD] EvoturK(16) => /l asfsaf
0:0:54 | [CMD] HeRquL(6) => /asd asD:a
0:0:56 | Konyali42(18): ahirbank a 1m yatir 3m al
0:0:57 | [CMD] EvoturK(16) => /kick 15 hesabýnla gir
0:0:59 | Moskova_Kurdu(11): prpreis :D
0:0:59 | [LOCAL]HeRquL(6): asd asD:a
0:0:59 | [CMD] HeRquL(6) => /l asd asD:a
