0:0:1 | nik0tin(9): kenidiniz bulmanýz grekiyor 
0:0:2 | Konyali42(11): evet 
0:0:4 | West(12): arayýp bulcaz yani illa
0:0:4 | [CMD] Brokoli(7) => /work
0:0:6 | Konyali42(11): ehliyetin varmi
0:0:8 | West(12): tamamdýr
0:0:15 | [CMD] West(12) => /ehliyet
0:0:20 | Konyali42(11): niko kargo
0:0:22 | Konyali42(11): pls
0:0:22 | [CMD] West(12) => /ehliyet
0:0:23 | nik0tin(9): aldýysan bulursun 
0:0:27 | [CMD] West(12) => /rescue
0:0:30 | [CMD] nik0tin(9) => /karakol 
0:0:33 | [CMD] nik0tin(9) => /cezaode 
0:0:36 | [CMD] nik0tin(9) => /meslek 
0:0:38 | 
0:0:41 | [CMD] nik0tin(9) => /sac 
0:0:52 | [CMD] Konyali42(11) => /work
0:0:55 | West(12): unutablirim ondan sordum çok sýk giremiyorum
0:1:9 | Konyali42(11): west
0:1:12 | nik0tin(9): hmm
0:1:14 | West(12): efendim
0:1:18 | Konyali42(11): senin o 5 lvl kumarhanede kac m birikmis :d
0:1:26 | nik0tin(9):  /gobus 
0:1:40 | West(12): iki tane var tanesinde 600k var þu an
0:1:49 | Konyali42(11): yok baya girmedin ya
0:1:53 | Konyali42(11): ilk girdikten sonra
0:1:55 | West(12): 60 m vardý geçen tanesinde
0:1:58 | Konyali42(11): yuh
0:2:0 | Konyali42(11): oha :D
0:2:2 | West(12): :D
0:2:12 | West(12): bileydim önceden alýrdým geç kaldým
0:2:17 | Jodor(6) oyuna girdi [IP: 88.226.219.16]
0:2:20 | [CMD] Brokoli(7) => /tamir
0:2:22 | nik0tin(9): limit 3 oldu 
0:2:27 | 
0:2:28 | nik0tin(9): evde 3 
0:2:34 | {FFCC00}Jodor(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:2:38 | [CMD] Jodor(6) => /myskin 294
0:2:40 | [CMD] Jodor(6) => /sa
0:2:43 | [CMD] Konyali42(11) => /as
0:2:43 | [CMD] nik0tin(9) => /as 
0:2:44 | [SirketCHT] Konyali42(11): ! hg
0:2:46 | West(12): hadi ya
0:2:48 | [SirketCHT] Jodor(6): ! hb
0:2:52 | [SirketCHT] Jodor(6): ! konyalý adamsýn ;)
0:2:54 | West(12): alayým bari bi tane daha :D
0:2:58 | nik0tin(9): 7 tane de araç sýnýrý var 
0:3:0 | [SirketCHT] Jodor(6): ! face grubunda yazdýklarýný okudum.
0:3:2 | [CMD] Brokoli(7) => /work
0:3:2 | [CMD] West(12) => /stats
0:3:4 | nik0tin(9): level ve para olursa 
0:3:13 | [SirketCHT] Konyali42(11): ! simdimi okudun :D
0:3:18 | [SirketCHT] Konyali42(11): ! yuh :d
0:3:20 | [CMD] West(12) => /rescue
0:3:20 | [SirketCHT] Jodor(6): ! gruptan çýkmýþtým
0:3:25 | [SirketCHT] Jodor(6): ! sonra barýþtýk
0:3:26 | [CMD] West(12) => /araba
0:3:28 | [SirketCHT] Jodor(6): ! tekrar almýþlar
0:3:35 | [SirketCHT] Konyali42(11): ! biliyorum dedi danger
0:4:4 | [LOCAL]nik0tin(9): kendimi týrcý hissettim :D 
0:4:4 | [CMD] nik0tin(9) => /l kendimi týrcý hissettim :D 
0:4:9 | [LOCAL]Konyali42(11): :D
0:4:9 | [CMD] Konyali42(11) => /l :D
0:4:15 | [LOCAL]nik0tin(9): ne zaman görsem kargocu :D 
0:4:15 | [CMD] nik0tin(9) => /l ne zaman görsem kargocu :D 
0:4:29 | [LOCAL]nik0tin(9): yada hep oturuyo 
0:4:29 | [CMD] nik0tin(9) => /l yada hep oturuyo 
0:4:42 | [LOCAL]Konyali42(11): bin
0:4:42 | [CMD] Konyali42(11) => /l bin
0:4:45 | [CMD] West(12) => /rescue
0:4:48 | [LOCAL]nik0tin(9): lagý yokda pc sýkýntýlý onun 
0:4:48 | [CMD] nik0tin(9) => /l lagý yokda pc sýkýntýlý onun 
0:4:52 | [CMD] West(12) => /araba
0:4:59 | [CMD] Brokoli(7) => /isteksarki 763
0:5:0 | [CMD] nik0tin(9) => /skapat 
0:5:0 | [CMD] Jodor(6) => /vtamir
0:5:5 | [CMD] Jodor(6) => /kemer
