0:0:16 | [CMD] TIRCI(16) => /araba
0:0:24 | [CMD] sezzer(19) => /work
0:0:26 | [CMD] huso608(7) => /kemer
0:0:33 | [CMD] huso608(7) => /sirketdorse
0:0:36 | ibrahimkk(9): burdaki telefonun markasi ne?
0:0:46 | huso608(7): @9 ??
0:0:53 | ibrahimkk(9): y ile aciyoz ya
0:0:56 | ibrahimkk(9): telefonu
0:1:5 | huso608(7): TmMobile yazýyor
0:1:8 | ibrahimkk(9): ok
0:1:10 | ibrahimkk(9): saol
0:1:36 | [CMD] TIRCI(16) => /rescue
0:1:47 | [CMD] TIRCI(16) => /rescue
0:2:6 | [CMD] huso608(7) => /work
0:2:11 | [CMD] ibrahimkk(9) => /sorusor admin olmak icin +18 olmak mi lazim
0:2:19 | ibrahimkk(9): admin olmak icin +18 yasmi lazim?
0:2:26 | sezzer(19): yo
0:2:34 | huso608(7): hayýr alýmlar oldugu zaman secilirsen 
0:2:35 | ibrahimkk(9): kac/
0:2:43 | sezzer(19): yaþ sýnýrý yok
0:2:47 | huso608(7): yaparsýn
0:2:47 | ibrahimkk(9): tmm saolun
0:2:48 | Name(10) oyuna girdi [IP: 94.54.20.164]
0:2:56 | huso608(7): Rica Ederiz
0:3:4 | Name(10) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:3:11 | [KAMYONCU] sametkaan, Quarry Top'den Bayside Warehouse'e Komur tasidi. Kazanc: 15145$, 1 Skor ve 5 EXP Sure: 829 Saniye
0:3:15 | huso608(7): sirkete kim boombox býraktý
0:3:23 | enginaydemir(8) oyuna girdi [IP: 176.42.247.215]
0:3:26 | sezzer(19): drackxomer olabilir
0:3:27 | ibrahimkk(9): boombox ne?
0:3:36 | [CMD] sezzer(19) => /work
0:3:47 | huso608(7): cok guzel bi soruydu
0:3:48 | 
0:3:48 | Yumurta(10) oyuna girdi [IP: 94.54.20.164]
0:3:53 | enginaydemir(8) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:3:53 | [KAMYONCU] ibrahimkk, LV Farm'den SF Supa Save'e Et tasidi. Kazanc: 46335$, 1 Skor ve 5 EXP Sure: 242 Saniye
0:3:54 | sezzer(19): müzik çalmaya yarýyo
0:3:58 | ibrahimkk(9): daha bilmiyorum
0:4:0 | sezzer(19): ama yaklaþýnca duyabiliyosun sadece
0:4:2 | ibrahimkk(9): yumurta :D
0:4:5 | [CMD] ibrahimkk(9) => /work
0:4:7 | huso608(7): boombox müzik calmaya yarýyor radyo seklinde
0:4:25 | huso608(7): komut var indiriyorsun meydanda duruyor radyo 
0:4:29 | [CMD] huso608(7) => /boombox
0:4:42 | enginaydemir(8) oyuna girdi [IP: 176.42.247.215]
0:4:44 | [CMD] sametkaan(6) => /Kemer
0:4:47 | huso608(7): y müzik sisteminin radyo gorunumlu kýsmý
0:4:47 | {FFCC00}Yumurta(10) Otobus Soforu olarak spawn oldu.
0:4:52 | 
0:5:5 | [CMD] huso608(7) => /aka 10
0:5:6 | ibrahimkk(9): saol 
0:5:13 | [CMD] huso608(7) => /bangor Name
0:5:14 | [CMD] Yumurta(10) => /kemer
0:5:24 | {FFCC00}enginaydemir(8) Otobus Soforu olarak spawn oldu.
0:5:25 | baraodichnl(11) oyuna girdi [IP: 158.181.42.62]
0:5:33 | [CMD] huso608(7) => /aka 8
0:5:34 | 
0:5:39 | {FFCC00}baraodichnl(11) {FFFFFF}Kamyoncu olarak spawn oldu.
0:5:46 | [CMD] huso608(7) => /aka 11
0:6:3 | ASLANBEY(12) oyuna girdi [IP: 217.131.66.73]
0:6:13 | [CMD] baraodichnl(11) => /sa
0:6:15 | [CMD] ibrahimkk(9) => /as
0:6:17 | [CMD] huso608(7) => /as
0:6:19 | 
