0:0:0 | Kraply(13): -_-
0:0:0 | [CMD] EvoturK(24) => /a bomba gibi
0:0:1 | TIRCI(20): .
0:0:1 | ahmet55(17): karavan senýnmý 
0:0:1 | Moskova_Kurdu(14): .d
0:0:3 | Kraply(13): HAOYDAAA
0:0:6 | Kraply(13): lotto geldi
0:0:9 | [CMD] Moskova_Kurdu(14) => /uyar 13 Büyük Harf 
0:0:13 | Kraply(13): karavan benim knk
0:0:14 | [CMD] TIRCI(20) => /rescue
0:0:19 | [CMD] HeRquL(10) => /duyuru bosver ahiri bal ye bal
0:0:20 | [CMD] Konyali42(23) => /asay Istek Sarki Olmadigi Için Rastgele Açilmistir...     
0:0:20 | [CMD] huso608(8) => /ahirjob 13
0:0:21 | [CMD] huso608(8) => /ahirjob 13
0:0:21 | Gezegen(15) oyuna girdi [IP: 78.174.249.89]
0:0:23 | [CMD] huso608(8) => /ahirjob 13
0:0:23 | [CMD] Moskova_Kurdu(14) => /get 13
0:0:26 | Kraply(13): what your problem
0:0:27 | TIRCI(20): karavan bug u duzeldýmý 
0:0:29 | [CMD] HeRquL(10) => /duyuru 4 kavanoz 100 tl
0:0:30 | [CMD] Kraply(13) => /animkapat
0:0:31 | ahmet55(17): baska yere park et duzelýr belký
0:0:31 | [CMD] huso608(8) => /duyuru arilar kufur ediyor
0:0:33 | 
0:0:33 | [CMD] Mike_(0) => /color
0:0:35 | {FFCC00}Gezegen(15) {FFFFFF}Pilot olarak spawn oldu.
0:0:37 | [CMD] Gezegen(15) => /rescue
0:0:38 | [CMD] Mike_(0) => /renk
0:0:39 | Kraply(13): ya nldu
0:0:39 | [CMD] Emirhan4427(7) => /icerigir
0:0:41 | [CMD] huso608(8) => /spec 17
0:0:42 | Kraply(13): bugda kaldým
0:0:43 | [CMD] Mike_(0) => /work
0:0:43 | [CMD] EvoturK(24) => /a çiçeklerin amk
0:0:45 | [CMD] ahmet55(17) => /araba
0:0:46 | [CMD] Kraply(13) => /otur
0:0:47 | [CMD] huso608(8) => /specoff
0:0:47 | {FFCC00}huso608(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:0:53 | [CMD] HeRquL(10) => /duyuru cicekler feryat ediyor
0:0:53 | Kraply(13): havada oturuyom
0:0:54 | [CMD] huso608(8) => /ahirjob
0:0:55 | Kraply(13): lol
0:0:56 | [CMD] Moskova_Kurdu(14) => /a La kavanaz muydu 
0:0:58 | [CMD] Moskova_Kurdu(14) => /a Neydi o
0:0:59 | [CMD] huso608(8) => /ahirjob 17
0:1:1 | [CMD] Moskova_Kurdu(14) => /a Adýný unuttum 
0:1:2 | Kraply(13) Oduncu olarak spawn oldu.
0:1:3 | Kraply(13): krsm
0:1:3 | [CMD] EvoturK(24) => /a kavanoz
0:1:5 | [CMD] huso608(8) => /ahirjob 17
0:1:5 | [CMD] huso608(8) => /ahirjob 17
0:1:5 | [CMD] Moskova_Kurdu(14) => /a he .d
0:1:7 | Konyali42(23): aga sagiklik bakanligi acikladi o kavanoz ballarda erkegi ... yapan maddeler varmis :D
0:1:8 | [CMD] HeRquL(10) => /a kavonoz amk
0:1:8 | Kraply(13): bilerekmi yapyon
0:1:10 | Kraply(13): xd
0:1:10 | ahmet55(17): :D
0:1:12 | [CMD] Emirhan4427(7) => /a  burda ne güzel otel var boþa sürünüyorsunuz orda otlarýn arasýnda
0:1:13 | [CMD] HeRquL(10) => /a sende bandýl gibi sin
0:1:18 | TIRCI(20): kým o ucuyo 
0:1:18 | [CMD] Kraply(13) => /kemer
0:1:21 | Kraply(13): bn
0:1:23 | huso608(8): sondur baba sondur
