0:0:0 | [CMD] Emirhan4427(22) => /meslek
0:0:1 | Younapo.(23): neyi
0:0:5 | {FFCC00}Emirhan4427(22) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:0:5 | Karpuzlupasta(28): adamý nasýl soycamü
0:0:5 | [CMD] Sparta298(25) => /a Neyi
0:0:6 | Freezer3543(13): Asýrý yuku :D
0:0:7 | Karpuzlupasta(28): adamý nasýl soycam
0:0:8 | Sparta298(25): Aha
0:0:8 | [CMD] emre_cool(8) => /kemer
0:0:11 | Freezer3543(13): Dorse alcan
0:0:17 | [CMD] Konyali42(17) => /c aga
0:0:18 | [CMD] Sparta298(25) => /pm 16 turismo
0:0:20 | [CMD] Konyali42(17) => /c ben gg
0:0:22 | Emirhan4427(22): oh oh tüm server suçlu nerdeyse
0:0:23 | Sparta298(25): Korktum
0:0:23 | Younapo.(23): benden gelse bile çalamaz olum
0:0:24 | [CMD] sezzer(16) => /pm 25 vaay
0:0:26 | [CMD] CagatayBro(24) => /c noldu
0:0:26 | Karpuzlupasta(28): iþte nasýl
0:0:27 | [CMD] sezzer(16) => /c haydaaa
0:0:29 | Younapo.(23): yüzümde bile tecrübe var
0:0:31 | [CMD] Sparta298(25) => /pm 16 dur görüntü atarým
0:0:34 | [CMD] Konyali42(17) => /c kamyon yan
0:0:37 | [CMD] Konyali42(17) => /c cikmiyor :D
0:0:40 | [CMD] CagatayBro(24) => /c bu konvoyda bir cenabetlik var
0:0:44 | Sparta298(25): Ayy
0:0:48 | [CMD] Emirhan4427(22) => /araba
0:0:49 | [CMD] emre_cool(8) => /kemer
0:0:51 | [CMD] Konyali42(17) => /convoylider 16
0:0:52 | Sparta298(25): Emirhan çevik olduysa battýk beyler
0:0:53 | [CMD] Konyali42(17) => /convoyayril
0:0:54 | [CMD] Konyali42(17) => /meslek
0:0:57 | {FFCC00}Konyali42(17) {FFFFFF}Polis olarak spawn oldu.
0:0:58 | [CMD] DarkFlow(10) => /modifiye
0:1:3 | [CMD] CagatayBro(24) => /assssss
0:1:4 | Emirhan4427(22): fare yok benim ama o da var
0:1:7 | [CMD] Sparta298(25) => /atamir
0:1:9 | Freezer3543(13): Adamýn dengesini boz dorsesini cýkarttýr kendi týrýna tak
0:1:9 | [CMD] CagatayBro(24) => /c napalým
0:1:11 | [CMD] Sparta298(25) => /atamir
0:1:11 | [CMD] sezzer(16) => /c baþlatýyom aga yine kaldýk baþ baþa
0:1:12 | BULDOZER(06)(7): emirhan
0:1:14 | Emirhan4427(22): ?
0:1:17 | [CMD] Sparta298(25) => /atamir
0:1:18 | [CMD] Freezer3543(13) => /work
0:1:18 | [CMD] Konyali42(17) => /rescue
0:1:20 | BULDOZER(06)(7): laptoplamý oynuyon
0:1:20 | [CMD] CagatayBro(24) => /c tamam
0:1:22 | Emirhan4427(22): evet
0:1:24 | [CMD] BULDOZER(06)(7) => /stats
0:1:26 | [CMD] emre_cool(8) => /t emirhan þu suçlularý bitirek be ya
0:1:26 | [CMD] sezzer(16) => /work
0:1:28 | Konyali42(17): bende laptopla
0:1:34 | BULDOZER(06)(7): bende 
0:1:35 | [CMD] Sparta298(25) => /pm 16 face bak
0:1:35 | [CMD] CagatayBro(24) => /c ana polis olmuþ konyali
0:1:35 | [KAMYONCU] Younapo., Konya Organize Sanayii 1'den LV Freight Depot'e Pano tasidi. Kazanc: 59092$, 1 Skor ve 5 EXP Sure: 304 Saniye
0:1:37 | BULDOZER(06)(7): :D
0:1:37 | [CMD] [UP]MUST@F@(0) => /modifiye
0:1:38 | [CMD] Younapo.(23) => /work
0:1:41 | Karpuzlupasta(28): kendime nasýl takvcam
0:1:45 | BULDOZER(06)(7): ama yedek mausle
0:1:47 | [CMD] sezzer(16) => /pm 25 konvoydayým knk  bakarým
0:1:55 | Konyali42(17): aga sen nerden helikopter buldun
0:1:55 | [CMD] CagatayBro(24) => /c pilotlugu mu acsam rank mý atlasam
0:1:58 | Freezer3543(13): Onu sen düsün
0:1:58 | Younapo.(23): görev bitti görev
0:2:1 | Younapo.(23): psikopat herif
0:2:5 | [CMD] sezzer(16) => /c eliyet mi
0:2:7 | Emirhan4427(22): benim kendi helikopterim u
0:2:9 | [CMD] CagatayBro(24) => /c yok normald
0:2:9 | Emirhan4427(22): benim kendi helikopterim bu
0:2:13 | Younapo.(23): yük kalmadý niye vuruyon la
0:2:16 | Freezer3543(13): :d
0:2:19 | [CMD] emre_cool(8) => /cevik
0:2:20 | Karpuzlupasta(28): yaa
0:2:21 | [CMD] emre_cool(8) => /cevir
0:2:25 | [CMD] CagatayBro(24) => /c meslek kapalý da
0:2:26 | Konyali42(17): benim hic helikopterim olmadi ;(
0:2:28 | [CMD] DarkFlow(10) => /araba
0:2:29 | Younapo.(23): kýrmýzý gözükenlerden çalabilirsin ancak
0:2:31 | Freezer3543(13): Pasra
0:2:32 | Konyali42(17): acilarin cocugu :d
0:2:33 | BULDOZER(06)(7): @28 ya týrý calcaksýn yada mafa spawn yerlerindeki týrla kasasýný cýkaartýp kendinr takacaksýn
0:2:33 | Freezer3543(13): Pasta
0:2:36 | [CMD] sezzer(16) => /c meslek nasý kapalý la
0:2:36 | [CMD] emre_cool(8) => /tamir
0:2:37 | [CMD] DarkFlow(10) => /kemer
0:2:38 | [CMD] emre_cool(8) => /kemer
0:2:38 | [CMD] Younapo.(23) => /work
0:2:38 | [SirketCHT] Karpuzlupasta(28): ! ayný þirketiz be ya :D
0:2:40 | [CMD] DarkFlow(10) => /modifiye
0:2:42 | [CMD] sezzer(16) => /c 200 skorsun
0:2:46 | [CMD] sezzer(16) => /c olabilirsin pilot
0:2:48 | Freezer3543(13): Work yaz kacak mal tasý 5 kere polis de yok
0:2:48 | [CMD] CagatayBro(24) => /c meslegi acmak icin 200 skor harcamam lazým
0:2:52 | Emirhan4427(22): taþýt konusu sýkýntý deðil 
0:2:54 | [CMD] CagatayBro(24) => /c ya da rütbe atlayabilirim diyom
0:2:58 | Freezer3543(13): Varýms :d
0:3:0 | [CMD] sezzer(16) => /c öyle biþey yok olm :D
0:3:1 | Karpuzlupasta(28): ok saol
0:3:3 | BULDOZER(06)(7): arac res
0:3:5 | [CMD] sezzer(16) => /c meslek için skor harcanmýyo
0:3:14 | [CMD] CagatayBro(24) => /c yemin et
0:3:15 | Emirhan4427(22): hydra da bulurum ama adil olmaz sonra
0:3:16 | BULDOZER(06)(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:3:17 | [CMD] sezzer(16) => /c evet
0:3:23 | [CMD] CagatayBro(24) => /c oh rahatladým
0:3:25 | Emirhan4427(22): o yzden kendi araçlarýmý kullanýyorum
0:3:26 | Sparta298(25): Araç res geliyor!!
0:3:27 | Sparta298(25): Araç res geliyor!!
0:3:29 | [CMD] Karpuzlupasta(28) => /rescue
0:3:39 | Karpuzlupasta(28): gelsin
0:3:39 | [CMD] Sparta298(25) => /respawncars
0:3:42 | [CMD] Konyali42(17) => /rescue
0:3:45 | [CMD] Karpuzlupasta(28) => /work
0:3:48 | [CMD] Sparta298(25) => /a Biraz bekledim dur diyen olur falan
0:3:50 | [CMD] CagatayBro(24) => /c reis þunu bitirekte ben biraz pilotluk yapam
0:3:53 | [CMD] Emirhan4427(22) => /a iyi iyi
0:3:56 | [CMD] sezzer(16) => /c tamam
0:3:57 | [CMD] emre_cool(8) => /tamir
0:4:0 | [CMD] CagatayBro(24) => /c convoyu oluyomu onun
0:4:9 | [CMD] Freezer3543(13) => /tamir
0:4:12 | [CMD] sezzer(16) => /c yok konvoy otobüs ve týrda var sadee
0:4:17 | [CMD] CagatayBro(24) => /c he tamam
0:4:17 | [CMD] Sparta298(25) => /a bu a1 bazý a1 ler hiç yapmadýklarý þeyler var
0:4:27 | [CMD] Sparta298(25) => /a beklemeden araç res lfn
0:4:31 | [CMD] CagatayBro(24) => /c baya bir katký yaptýk zaten þirkete
0:4:32 | [CMD] Sparta298(25) => /a duyuru chatýný silmiyolar
0:4:38 | [CMD] Emirhan4427(22) => /t expres tünelde
0:4:41 | [CMD] sezzer(16) => /c pilot baþarýmýný alýnca
0:4:42 | [CMD] CagatayBro(24) => /c 2 günde 5 m 850 k
0:4:46 | [CMD] sezzer(16) => /c 300 skor olcan
0:4:47 | Sparta298(25): oh oh
0:4:48 | [CMD] emre_cool(8) => /keemr
0:4:50 | [CMD] emre_cool(8) => /kemer
0:4:51 | Sparta298(25): Hayýrlý þler çevikler
0:4:59 | [CMD] CagatayBro(24) => /c iyimiþ
0:5:0 | Sparta298(25): bekleyin orda
0:5:9 | [CMD] sezzer(16) => /c 300 olunca çöpçülük yap
