0:0:0 | [CMD] HeRquL(14) => /work
0:0:1 | [CMD] huso608(17) => /asay Arac Res Geliyor!!! 
0:0:5 | [CMD] huso608(17) => /asay Arac Res Geliyor!!! 
0:0:5 | [CMD] nik0tin(28) => /respawn 301 
0:0:8 | [CMD] huso608(17) => /asay Arac Res Geliyor!!! 
0:0:9 | [CMD] ekmeksevenyiyen(31) => /RESCUE
0:0:9 | TIRCI(16): 1m kazasýn 
0:0:10 | [CMD] huso608(17) => /respawncars
0:0:11 | Apocalypto(10) oyuna girdi [IP: 89.13.227.88]
0:0:13 | TIRCI(16): týrda
0:0:17 | TIRCI(16): tek gorevde
0:0:17 | [CMD] nik0tin(28) => /a sileriz /respawn ile 
0:0:18 | 
0:0:21 | {FFCC00}Apocalypto(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:0:25 | [CMD] HeRquL(14) => /a id versin yeter
0:0:26 | [CMD] nik0tin(28) => /myskin 124 
0:0:27 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:0:29 | [CMD] buyukustadbitti(6) => /vipol
0:0:31 | [CMD] CagatayBro(7) => /tamir
0:0:34 | [CMD] ekmeksevenyiyen(31) => /vipol
0:0:35 | huso608(17): maalesef
0:0:36 | [CMD] ekmeksevenyiyen(31) => /vipol
0:0:37 | [CMD] TDSDoctor(27) => /meslek
0:0:37 | [CMD] buyukustadbitti(6) => /vipol
0:0:38 | [CMD] ekmeksevenyiyen(31) => /vipol
0:0:39 | [CMD] ekmeksevenyiyen(31) => /vipol
0:0:39 | [CMD] buyukustadbitti(6) => /vipol
0:0:40 | [CMD] xqHost(26) => /modifiye
0:0:40 | [CMD] buyukustadbitti(6) => /vipol
0:0:41 | [CMD] ekmeksevenyiyen(31) => /vipol
0:0:42 | HeRquL(14):  /sac
0:0:42 | [CMD] [AsLt]Cicek.Abbas.(25) => /vipneon
0:0:43 | [CMD] buyukustadbitti(6) => /vipol
0:0:44 | TDSDoctor(27) Yol Iscisi olarak spawn oldu.
0:0:45 | [CMD] xqHost(26) => /vipneon
0:0:45 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
0:0:47 | huso608(17): Spamlama Yapmayalým!!!
0:0:48 | TIRCI(16): flodlama
0:0:49 | [CMD] GSLIMERT(13) => /sac
0:0:53 | [CMD] xqHost(26) => /hava 22
0:0:53 | [CMD] GSLIMERT(13) => /pcc
0:0:55 | [CMD] xqHost(26) => /hava 10
0:0:55 | [CMD] CagatayBro(7) => /vtamir
0:0:56 | [CMD] Apocalypto(10) => /work
0:0:57 | [CMD] xqHost(26) => /saat 22
0:0:58 | HeRquL(14): matite mi geldi noldu 
0:0:58 | imDegoo(24) oyuna girdi [IP: 94.122.64.173]
0:1:0 | Yigit_Dely(18): kafayý yicem
0:1:0 | VictorVance(29) oyundan cIktI (Hata/Crash) (IP: 88.231.50.30)
0:1:0 | [CMD] ekmeksevenyiyen(31) => /vipol,
0:1:2 | TIRCI(16): evet
0:1:3 | [CMD] [AsLt]Cicek.Abbas.(25) => /vtamir
