0:0:0 | sezzer(6): 120 mi
0:0:0 | [CMD] Brokoli(14) => /tamir
0:0:3 | _Gezen_Oyuncu_(16): kayalýklar bana soktu
0:0:4 | TIRCI(13): kayada sýkýstý o :D
0:0:6 | [KAMYONCU] KamyoncuNecmi, Quarry Top'den LV Construction Site'e Cimento tasidi. Kazanc: 5845$, 2 Skor ve 5 EXP Sure: 206 Saniye
0:0:8 | _Gezen_Oyuncu_(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:0:8 | {FFCC00}eren1616(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:0:9 | eren1616(7): 110-120 öyle biþeydi 
0:0:11 | [CMD] sezzer(6) => /rescue
0:0:18 | TIRCI(13): gel býn bunaü
0:0:18 | sezzer(6): olm kaç kiþi yapýlýyo diyo
0:0:21 | sezzer(6): :D
0:0:23 | eren1616(7): eski çöpçülerden kim kaldý be
0:0:27 | Axefi(12): ya çüþ lan
0:0:27 | TR_Berk_TR(0): ben
0:0:30 | TR_Berk_TR(0): :QEW
0:0:31 | Axefi(12): kýrmayýn arabayý
0:0:39 | [CMD] TR_Berk_TR(0) => /meslek
0:0:42 | {FFCC00}TR_Berk_TR(0) {FFFFFF}Polis olarak spawn oldu.
0:0:42 | TIRCI(13): adam kayada sýkýstý oyundan cýktý :D
0:0:47 | [CMD] eren1616(7) => /goto sezzer
0:0:48 | sezzer(6): asghdjhagsd
0:0:50 | eren1616(7): sezer
0:0:54 | sezzer(6): he
0:0:55 | {FFCC00}eren1616(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:0:58 | Axefi(12): adam 3 m ceza kescek 5 m hasar veriyo
0:0:59 | eren1616(7): öldüm emi öldüm
0:1:3 | eren1616(7): A:SDA
0:1:6 | TIRCI(13): sezer gel shamal ile beni dusur
0:1:16 | [CMD] eren1616(7) => /goto 13
0:1:20 | sezzer(6): gel eren emmi indim
0:1:23 | TIRCI(13): .
0:1:24 | [CMD] KamyoncuNecmi(19) => /work
0:1:25 | [CMD] DarkFlow(17) => /work
0:1:27 | [CMD] Axefi(12) => /araba
0:1:30 | eren1616(7) oyundan cIktI (Hata/Crash) (IP: 95.10.185.198)
0:1:37 | eren1616(7) oyuna girdi [IP: 95.10.185.198]
0:1:42 | [CMD] DarkFlow(17) => /tamir
0:1:52 | [CMD] Axefi(12) => /araba
0:1:55 | sezzer(6): eren emmi
0:2:0 | eren1616(7) oyundan cIktI (Hata/Crash) (IP: 95.10.185.198)
0:2:1 | sezzer(6): gel týrcýyý patlatalým
0:2:7 | eren1616(7) oyuna girdi [IP: 95.10.185.198]
0:2:12 | TIRCI(13): sezer shamala bený
0:2:18 | sezzer(6): geliyom
0:2:20 | sezzer(6): hazýr ol
0:2:22 | [CMD] Brokoli(14) => /tamir
0:2:25 | eren1616(7) oyundan cIktI (Hata/Crash) (IP: 95.10.185.198)
0:2:28 | TIRCI(13): tm
0:2:29 | Axefi(12): haha ne güzel arabam 10x nitroli geliyo her patladýðýnda veya suya düþtüðünde :D
0:2:31 | TIRCI(13): :D
0:2:32 | eren1616(7) oyuna girdi [IP: 95.10.185.198]
0:2:39 | TIRCI(13): erende kým bursalý da gelsýn 
0:2:39 | 
0:2:40 | {FFCC00}eren1616(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:2:48 | [CMD] eren1616(7) => /admgiris
0:2:49 | [CMD] Brokoli(14) => /cevir
0:2:53 | [CMD] Brokoli(14) => /c neeeeeeeeeeeeeeeeeeeeeeeee
0:2:53 | eren1616(7): gta öldü öldü
0:2:54 | TIRCI(13): :D
0:2:54 | sezzer(6): asdghjghasd
0:2:55 | {FFCC00}sezzer(6) {FFFFFF}Pilot olarak spawn oldu.
0:3:2 | sezzer(6): adama lagdan biþey olmuyo :D
0:3:3 | sezzer(6): kaya gibi
0:3:5 | TIRCI(13): oldu dasd
0:3:9 | sezzer(6): dütün mü :D
0:3:12 | [CMD] eren1616(7) => /spec 13
0:3:15 | TIRCI(13): yo
0:3:19 | [CMD] Brokoli(14) => /tamir
0:3:20 | [CMD] eren1616(7) => /spec 6
0:3:24 | sezzer(6): :/
0:3:24 | [CMD] eren1616(7) => /specoff
0:3:24 | TIRCI(13): carptýn altýma ben havaya uctum 
0:3:24 | {FFCC00}eren1616(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:3:25 | [CMD] Brokoli(14) => /c geliyom
0:3:26 | [CMD] eren1616(7) => /goto 5
0:3:29 | [CMD] eren1616(7) => /goto 6
0:3:36 | [CMD] eren1616(7) => /plane
0:3:39 | TIRCI(13): erende gelsýn sana destege
0:3:48 | Brokoli(14): :D
0:3:48 | [CMD] eren1616(7) => /atamir
0:3:49 | [CMD] eren1616(7) => /sac
0:3:50 | sezzer(6): aha eren aldý yine stunt u :D
0:3:52 | [CMD] Brokoli(14) => /c 20
0:3:53 | eren1616(7): A:SDA
0:3:58 | TIRCI(13): :D
0:4:0 | [CMD] Brokoli(14) => /c yaptým
0:4:0 | eren1616(7): gettim gýz
0:4:3 | [CMD] sezzer(6) => /rescue
0:4:5 | Brokoli(14): 14w
0:4:6 | TIRCI(13): ben kacýyom :D
0:4:13 | sezzer(6): eren kötü geliyo kaç
0:4:15 | Yamuk(11) Brokoli(14)'a 2000000$ para gönderdi
0:4:15 | [CMD] Yamuk(11) => /paragonder 14 2000000
0:4:17 | eren1616(7): :ASDA
0:4:21 | [CMD] TR_Berk_TR(0) => /meslek
0:4:23 | [CMD] Yamuk(11) => /meslek
0:4:24 | TR_Berk_TR(0) Cöpcü olarak spawn oldu.
0:4:26 | [CMD] Brokoli(14) => /meslek
0:4:27 | [CMD] TR_Berk_TR(0) => /rescue
0:4:29 | Brokoli(14) Cöpcü olarak spawn oldu.
0:4:33 | eren1616(7): illa andromeda ilemi dalak yani
0:4:33 | Yamuk(11) Cöpcü olarak spawn oldu.
0:4:33 | [CMD] Brokoli(14) => /rescue
0:4:36 | TIRCI(13): shamalla bený 
0:4:38 | [CMD] TR_Berk_TR(0) => /kemer
0:4:42 | swisskobay301(8) oyuna girdi [IP: 88.240.213.215]
0:4:42 | [CMD] eren1616(7) => /atamri
0:4:45 | [CMD] eren1616(7) => /atamir
0:4:48 | [CMD] Yamuk(11) => /convoyiptal
0:4:50 | [CMD] Yamuk(11) => /convoy
0:4:53 | sezzer(6): ýskaladým
0:4:53 | 
0:4:54 | TIRCI(13): carpamdý býle
0:4:56 | [CMD] Brokoli(14) => /convoy
0:4:57 | swisskobay301(8) Itfaiyeci olarak spawn oldu.
0:5:4 | TIRCI(13): lon
0:5:7 | [CMD] swisskobay301(8) => /sa
0:5:7 | [CMD] TR_Berk_TR(0) => /work
0:5:8 | [CMD] Yamuk(11) => /work
0:5:8 | [CMD] eren1616(7) => /atamir
0:5:10 | [CMD] eren1616(7) => /as
0:5:10 | [CMD] DarkFlow(17) => /as
0:5:11 | [CMD] TIRCI(13) => /as
0:5:11 | Brokoli(14): olmuyo öyle
0:5:12 | Brokoli(14): olmuyo öyle
0:5:16 | [CMD] swisskobay301(8) => /kemer
0:5:16 | [CMD] KamyoncuNecmi(19) => /goreviptal
0:5:20 | Brokoli(14): berk yaz
0:5:20 | [CMD] swisskobay301(8) => /modifiye
0:5:22 | Brokoli(14): berk yaz
0:5:25 | [CMD] Yamuk(11) => /work
0:5:31 | Brokoli(14): berk yaz
0:5:34 | [CMD] swisskobay301(8) => /work
0:5:35 | Brokoli(14): þimdi
0:5:40 | [CMD] TR_Berk_TR(0) => /work
0:5:41 | [CMD] swisskobay301(8) => /goreviptal
0:5:42 | [CMD] swisskobay301(8) => /work
0:5:47 | TIRCI(13): eren crasyedý
0:5:52 | [CMD] Axefi(12) => /rescue
0:5:53 | [CMD] Brokoli(14) => /oyur
0:5:56 | eren1616(7): hee yedim
0:5:57 | [CMD] Yamuk(11) => /work
0:5:57 | TIRCI(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:5:57 | [CMD] Brokoli(14) => /otur
0:5:59 | [CMD] Brokoli(14) => /otur
0:6:8 | [LOCAL]Brokoli(14): bekle
0:6:8 | [CMD] Brokoli(14) => /l bekle
0:6:13 | [LOCAL]Brokoli(14): deniyelim
0:6:13 | [CMD] Brokoli(14) => /l deniyelim
0:6:14 | [LOCAL]Brokoli(14): deniyelim
0:6:14 | [CMD] Brokoli(14) => /l deniyelim
0:6:14 | [LOCAL]Brokoli(14): deniyelim
0:6:14 | [CMD] Brokoli(14) => /l deniyelim
0:6:18 | eren1616(7): efsane geçtik ya la sezer
0:6:19 | [CMD] Brokoli(14) => /gel sende
0:6:22 | Brokoli(14): gel sende
0:6:27 | sezzer(6): :DaSD:AS:D
0:6:32 | sezzer(6): benim amacým çarpmakdýu
0:6:34 | eren1616(7): bi baktým sezer A:SDA
0:6:35 | [LOCAL]Brokoli(14): hayýr 3 lü denicez
0:6:35 | [CMD] Brokoli(14) => /l hayýr 3 lü denicez
0:6:37 | eren1616(7): al iþte :d
0:6:40 | {FFCC00}sezzer(6) {FFFFFF}Pilot olarak spawn oldu.
0:6:42 | sezzer(6): ula patladuk :D
0:6:44 | [CMD] eren1616(7) => /goto 6
0:6:45 | [CMD] sezzer(6) => /rescue
0:6:49 | Yamuk(11): aga çöpçuluk 3 kiþi ile yapýlmýymuydu
0:6:50 | [CMD] Axefi(12) => /rescue
0:6:50 | [LOCAL]Brokoli(14): mute yedim
0:6:50 | [CMD] Brokoli(14) => /l mute yedim
0:6:51 | [LOCAL]Brokoli(14): mute yedim
0:6:51 | [CMD] Brokoli(14) => /l mute yedim
0:6:51 | [LOCAL]Brokoli(14): mute yedim
0:6:51 | [CMD] Brokoli(14) => /l mute yedim
0:6:52 | [LOCAL]Brokoli(14): mute yedim
0:6:52 | [CMD] Brokoli(14) => /l mute yedim
0:6:52 | [CMD] eren1616(7) => /cleanupcars
0:6:53 | [CMD] TR_Berk_TR(0) => /meslek
0:6:55 | [CMD] Yamuk(11) => /meslek
0:6:55 | TR_Berk_TR(0): f
0:6:55 | eren1616(7): @11 hyr
0:6:58 | TR_Berk_TR(0): f
0:6:58 | [LOCAL]Brokoli(14): mute yedim
0:6:58 | [CMD] Brokoli(14) => /l mute yedim
0:6:58 | [LOCAL]Brokoli(14): mute yedim
0:6:58 | [CMD] Brokoli(14) => /l mute yedim
0:6:59 | [LOCAL]Brokoli(14): mute yedim
0:6:59 | [CMD] Brokoli(14) => /l mute yedim
0:6:59 | [LOCAL]Brokoli(14): mute yedim
0:6:59 | [CMD] Brokoli(14) => /l mute yedim
0:6:59 | [LOCAL]Brokoli(14): mute yedim
0:6:59 | [CMD] Brokoli(14) => /l mute yedim
0:7:2 | [CMD] TR_Berk_TR(0) => /meslek
0:7:5 | [CMD] TR_Berk_TR(0) => /meslek
0:7:5 | [CMD] Axefi(12) => /araba
0:7:7 | [CMD] eren1616(7) => /planet/respawncars 
0:7:8 | [LOCAL]Brokoli(14): mute yedim
0:7:8 | [CMD] Brokoli(14) => /l mute yedim
0:7:9 | [LOCAL]Brokoli(14): mute yedim
0:7:9 | [CMD] Brokoli(14) => /l mute yedim
0:7:9 | [CMD] eren1616(7) => /plane
0:7:9 | [LOCAL]Brokoli(14): mute yedim
0:7:9 | [CMD] Brokoli(14) => /l mute yedim
0:7:10 | [LOCAL]Brokoli(14): mute yedim
0:7:10 | [CMD] Brokoli(14) => /l mute yedim
0:7:10 | [LOCAL]Brokoli(14): mute yedim
0:7:10 | [CMD] Brokoli(14) => /l mute yedim
0:7:11 | [LOCAL]Brokoli(14): mute yedim
0:7:11 | [CMD] Brokoli(14) => /l mute yedim
0:7:14 | [CMD] Yamuk(11) => /duyuru kapat
0:7:14 | sezzer(6): ohaaaaa
0:7:15 | [CMD] Axefi(12) => /araba
0:7:16 | eren1616(7): ya hak sezer
0:7:18 | [CMD] Brokoli(14) => /animkapat
0:7:19 | [CMD] Yamuk(11) => /duyuru kapat
0:7:22 | [CMD] Yamuk(11) => /duyurukapat
0:7:23 | [CMD] sezzer(6) => /rescue
0:7:26 | [LOCAL]Brokoli(14): mute yedim
0:7:26 | [CMD] Brokoli(14) => /l mute yedim
0:7:26 | [LOCAL]Brokoli(14): mute yedim
0:7:26 | [CMD] Brokoli(14) => /l mute yedim
0:7:27 | [LOCAL]Brokoli(14): mute yedim
0:7:27 | [CMD] Brokoli(14) => /l mute yedim
0:7:27 | [LOCAL]Brokoli(14): mute yedim
0:7:27 | [CMD] Brokoli(14) => /l mute yedim
0:7:29 | [LOCAL]Brokoli(14): mute yedim
0:7:29 | [CMD] Brokoli(14) => /l mute yedim
0:7:29 | [LOCAL]Brokoli(14): mute yedim
0:7:29 | [CMD] Brokoli(14) => /l mute yedim
0:7:30 | eren1616(7): sýpmýyor
0:7:30 | [LOCAL]Brokoli(14): mute yedim
0:7:30 | [CMD] Brokoli(14) => /l mute yedim
0:7:30 | [LOCAL]Brokoli(14): mute yedim
0:7:30 | [CMD] Brokoli(14) => /l mute yedim
0:7:31 | [LOCAL]Brokoli(14): mute yedim
0:7:31 | [CMD] Brokoli(14) => /l mute yedim
0:7:33 | [CMD] eren1616(7) => /dcar
0:7:37 | {FFCC00}eren1616(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:7:37 | [CMD] eren1616(7) => /meslek
0:7:39 | Yamuk(11): ./duyurukapat diyorum olmuyor
0:7:39 | sezzer(6): sf den geliyom hazýr ol
0:7:43 | {FFCC00}eren1616(7) {FFFFFF}Pilot olarak spawn oldu.
0:7:47 | [CMD] Brokoli(14) => /duyuru
0:7:47 | [CMD] eren1616(7) => /rescue
0:7:50 | [CMD] Brokoli(14) => /duyurukapat
0:7:52 | [CMD] eren1616(7) => /fly
0:7:55 | [CMD] eren1616(7) => /get 6
0:7:57 | [CMD] Yamuk(11) => /duyurukapat
0:8:5 | [LOCAL]Brokoli(14): ben
0:8:5 | [CMD] Brokoli(14) => /l ben
0:8:5 | {FFCC00}sezzer(6) {FFFFFF}Pilot olarak spawn oldu.
0:8:10 | [CMD] Yamuk(11) => /meslek
0:8:13 | eren1616(7): sezer yavaþ ciðerimi söktün
0:8:15 | [LOCAL]Brokoli(14): ben
0:8:15 | [CMD] Brokoli(14) => /l ben
0:8:15 | [LOCAL]Brokoli(14): ben
0:8:15 | [CMD] Brokoli(14) => /l ben
0:8:16 | [LOCAL]Brokoli(14): ben
0:8:16 | [CMD] Brokoli(14) => /l ben
0:8:16 | [LOCAL]Brokoli(14): ben
0:8:16 | [CMD] Brokoli(14) => /l ben
0:8:16 | [LOCAL]Brokoli(14): ben
0:8:16 | [CMD] Brokoli(14) => /l ben
0:8:17 | [LOCAL]Brokoli(14): ben
0:8:17 | [CMD] Brokoli(14) => /l ben
0:8:18 | [LOCAL]Brokoli(14): ben
0:8:18 | [CMD] Brokoli(14) => /l ben
0:8:18 | [LOCAL]Brokoli(14): ben
0:8:18 | [CMD] Brokoli(14) => /l ben
0:8:19 | [LOCAL]Brokoli(14): ben
0:8:19 | [CMD] Brokoli(14) => /l ben
0:8:19 | [LOCAL]Brokoli(14): ben
0:8:19 | [CMD] Brokoli(14) => /l ben
0:8:21 | [CMD] swisskobay301(8) => /cevir
0:8:22 | [CMD] eren1616(7) => /get 6
0:8:22 | {FFCC00}Yamuk(11) Otobus Soforu olarak spawn oldu.
0:8:26 | sezzer(6): çok güzel hareketler bunlaar lobo lobo lop lopl ooð
0:8:26 | [CMD] Brokoli(14) => /meslek
0:8:26 | TR_Berk_TR(0): ,
0:8:28 | {FFCC00}Brokoli(14) Otobus Soforu olarak spawn oldu.
0:8:30 | [CMD] TR_Berk_TR(0) => /meslek
0:8:31 | [CMD] Yamuk(11) => /convoy
0:8:31 | [CMD] Brokoli(14) => /rescue
0:8:33 | {FFCC00}TR_Berk_TR(0) Otobus Soforu olarak spawn oldu.
0:8:38 | [CMD] Brokoli(14) => /convoy
0:8:39 | [CMD] TR_Berk_TR(0) => /rescue
0:8:42 | [CMD] eren1616(7) => /get 6
0:8:42 | [CMD] TR_Berk_TR(0) => /convoy
0:8:51 | eren1616(7): sezer yavaþ jojum yavaþ
0:8:51 | [CMD] Brokoli(14) => /kemer
0:8:58 | [CMD] Brokoli(14) => /c -/kemer
0:8:58 | [CMD] Brokoli(14) => /c -/kemer
0:8:59 | [CMD] Brokoli(14) => /c -/kemer
0:8:59 | [CMD] TR_Berk_TR(0) => /rescue
0:9:2 | [CMD] eren1616(7) => //plane
0:9:4 | Brokoli(14): oh be
0:9:5 | [CMD] eren1616(7) => /plane
0:9:6 | [CMD] Yamuk(11) => /kemer
