0:0:2 | [CMD] huso608(12) => /admins
0:0:11 | [CMD] [AsLt]Cicek.Abbas.(9) => /asiriyuk
0:0:17 | Madness(7): var mý daha artýran buyrun
0:0:19 | [CMD] Madness(7) => /convoy
0:0:23 | [CMD] Madness(7) => /convoyt
0:0:25 | [CMD] Madness(7) => /convoy
0:0:35 | [CMD] Madness(7) => /convoykontrol
0:0:37 | [CMD] Madness(7) => /convoybilgi
0:0:42 | [CMD] buyukustadbitti(11) => /work
0:0:43 | [CMD] thunder(8) => /meslek
0:0:53 | [CMD] buyukustadbitti(11) => /goreviptal
0:0:54 | [CMD] thunder(8) => /meslek
0:0:56 | [CMD] buyukustadbitti(11) => /work
0:0:57 | [AsLt]Cicek.Abbas.(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:1:0 | Madness(7): ula o kadar týrcý var hiçibiri gelmiyo :D
0:1:2 | [CMD] DarkFlow(17) => /modifiye
0:1:22 | [CMD] buyukustadbitti(11) => /goreviptal
0:1:25 | [CMD] buyukustadbitti(11) => /work
0:1:29 | {FFCC00}thunder(8) {FFFFFF}Pilot olarak spawn oldu.
0:1:34 | [CMD] thunder(8) => /rescue
0:1:35 | [CMD] buyukustadbitti(11) => /goreviptal
0:1:36 | [CMD] Madness(7) => /c baþlatacam simdi abbas gelir heralde
0:1:38 | [CMD] buyukustadbitti(11) => /work
0:1:46 | [CMD] buyukustadbitti(11) => /goreviptal
0:1:46 | Madness(7): huso gelsene
0:1:49 | [CMD] buyukustadbitti(11) => /work
0:1:52 | [CMD] thunder(8) => /kemer
0:1:55 | [CMD] thunder(8) => /work
0:1:55 | huso608(12): gorev yapýyorum
0:1:57 | [CMD] buyukustadbitti(11) => /goreviptal
0:2:2 | [CMD] buyukustadbitti(11) => /work
0:2:4 | [CMD] Madness(7) => /convoy
0:2:7 | [CMD] DarkFlow(17) => /c baþlat
0:2:11 | [CMD] Madness(7) => /work
0:2:24 | [CMD] TIRCI(14) => /vipneon
0:2:28 | [CMD] DarkFlow(17) => /asiriyuk
0:2:33 | [CMD] huso608(12) => /vipneon
0:2:38 | [CMD] thunder(8) => /asiriyuk
0:2:41 | [CMD] huso608(12) => /fps
0:2:54 | [CMD] Karpuzlupasta(13) => /convoy
0:2:57 | Jodor(9) oyuna girdi [IP: 78.168.26.18]
0:3:9 | 
0:3:10 | [CMD] thunder(8) => /rescue
0:3:13 | {FFCC00}Jodor(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:3:16 | [CMD] Jodor(9) => /sa
0:3:18 | [CMD] thunder(8) => /rescue
0:3:18 | [CMD] Madness(7) => /as
0:3:19 | [CMD] huso608(12) => /as
0:3:20 | Karpuzlupasta(13): as
0:3:20 | [CMD] DarkFlow(17) => /as
0:3:23 | [CMD] Jodor(9) => /myskin 294
0:3:28 | [CMD] Jodor(9) => /convoy 
0:3:29 | [CMD] thunder(8) => /kemer
0:3:32 | [CMD] thunder(8) => /motor
0:3:34 | Karpuzlupasta(13): vaay jodor
0:3:34 | [CMD] thunder(8) => /work
0:3:36 | [CMD] Jodor(9) => /pm 17 dark nerdesin
0:3:42 | Jodor(9): ooo paasta
0:3:46 | Karpuzlupasta(13): ha
0:3:47 | [CMD] DarkFlow(17) => /pm 9 docka gidiyoz
0:3:51 | Karpuzlupasta(13): vipin bitti sndým :D
0:3:57 | Karpuzlupasta(13): baþta tag yoktuý
0:4:5 | Jodor(9):  /vipler
0:4:9 | Karpuzlupasta(13): baþta tag yoktuý/vipler
0:4:9 | [CMD] Madness(7) => /vipler
0:4:12 | Karpuzlupasta(13): ayol pardon
0:4:15 | [CMD] Karpuzlupasta(13) => /pardon7
0:4:19 | [CMD] Karpuzlupasta(13) => /vipler
0:4:22 | [CMD] Jodor(9) => /pm 17 görevdesin öyle mi
0:4:27 | [CMD] TIRCI(14) => /gobus
0:4:29 | [CMD] Jodor(9) => /rescue
0:4:30 | [CMD] DarkFlow(17) => /pm 9 evet
0:4:30 | [CMD] Karpuzlupasta(13) => /viplerkeþke vip olsam
0:4:31 | PGDestuidor(15) oyuna girdi [IP: 131.221.160.10]
0:4:32 | [CMD] huso608(12) => /fps
0:4:37 | [CMD] huso608(12) => /vipler
0:4:37 | [CMD] TIRCI(14) => /adminol
0:4:38 | Karpuzlupasta(13): keþke vip olsam
0:4:38 | [CMD] TIRCI(14) => /adminol
0:4:46 | [CMD] Jodor(9) => /pm 17 þirket açmaya karar verdim :) 
0:4:47 | Karpuzlupasta(13): o görevler ne o görevler
0:4:54 | [CMD] DarkFlow(17) => /pm 9 açta
0:5:0 | Karpuzlupasta(13): herkez çýkarken aynýsýný diyo
0:5:1 | TIRCI(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:5:1 | 
0:5:9 | [CMD] DarkFlow(17) => /pm 9 nekadar saglýklý olur bilmem
0:5:9 | [CMD] Jodor(9) => /pm 17 görev bitince gel yanýma yer bakalým 
0:5:17 | PGDestuidor(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:5:31 | [CMD] Jodor(9) => /pm 17 ne demek istediðini anladým. bikaç kiþi var onlarý da yanýma alacam. 
0:5:44 | [CMD] Karpuzlupasta(13) => /gobus
0:5:45 | [CMD] Jodor(9) => /pm 17 sen de patronlardan biri olacaksýn. 
0:5:53 | (15) 60 saniye içinde giriþ yapmadýðý için tekmelendi
0:6:0 | Madness(7): Ben görevimi yapmadým. O yüzden gitmiyorum
0:6:3 | huso608(12): @13 sana vip mi lazým
0:6:4 | [CMD] Jodor(9) => /pm 17 20 slotluk alacam 
0:6:9 | Karpuzlupasta(13): evet ama beleþ xd
0:6:19 | huso608(12): belese bisey veriyorlar mý
0:6:19 | [CMD] DarkFlow(17) => /pm 9 tmm bakalým
0:6:23 | Madness(7): veriyorlar
0:6:30 | Karpuzlupasta(13): verdileer
0:6:35 | [CMD] thunder(8) => /tamir
0:6:35 | Karpuzlupasta(13): vip :D
0:6:38 | [CMD] Jodor(9) => /pm 17 görevin bitirse highwaya ýþýnlan 
0:6:43 | huso608(12): anam babama bile evlenirken camasýr makinasý ýstemis
0:6:45 | huso608(12): ne vip i
0:6:47 | [CMD] DarkFlow(17) => /pm 9 tmm 
0:6:47 | Karpuzlupasta(13): :D
0:6:53 | buyukustadbitti(11): bn alýcam výp yarýn
0:7:3 | huso608(12): hayýrlýsý
0:7:4 | Madness(7): hoydee
0:7:13 | Karpuzlupasta(13): valla parayý buna yatýrmam  :D
0:7:14 | [CMD] Jodor(9) => /pm 17 aslanbey de þirkete gelecek. siz ikiniz de patron olacaksýnýz. 
0:7:19 | buyukustadbitti(11): neden
0:7:23 | Karpuzlupasta(13): oyuna para neden yatýrayým
0:7:23 | huso608(12): kendi tercihin
0:7:29 | [CMD] Jodor(9) => /pm 17 sana güvenebilirim deðil mi :) 
0:7:34 | buyukustadbitti(11): zevk
0:7:35 | Karpuzlupasta(13): olm
0:7:40 | Karpuzlupasta(13): benim 2 yýllýk 50 liram var
