0:0:2 | TunlordBeyWT(6): neyse biter þimdi
0:0:7 | [CMD] ASLANBEY(10) => /convoykontrol
0:0:9 | sezzer(9): yol bitti bu bitmedi
0:0:12 | TunlordBeyWT(6): :ASD:AS
0:0:14 | TunlordBeyWT(6): ayn
0:0:14 | [CMD] Strike(TR)(7) => /djler
0:0:19 | [CMD] sezzer(9) => /c ben bitirdim
0:0:22 | [CMD] Strike(TR)(7) => /admins
0:0:23 | [CMD] ASLANBEY(10) => /c sezzer bitti mi :D
0:0:30 | TunlordBeyWT(6): bende ölürüm türkiyeye
0:0:33 | [CMD] huso608(0) => /c docka baskan
0:0:34 | [CMD] ASLANBEY(10) => /c aha bitiröiþ 
0:0:38 | TunlordBeyWT(6): bitir nolur artýk
0:0:42 | TunlordBeyWT(6): aha bitti
0:1:3 | TunlordBeyWT(6): açtým
0:1:5 | sezzer(9): eyw
0:1:8 | TunlordBeyWT(6): þu görev bitsin çýkcam
0:1:10 | [CMD] nik0tin(13) => /d bitti mi mesai 
0:1:14 | [CMD] TunlordBeyWT(6) => /d evet
0:1:20 | [CMD] sezzer(9) => /c dock a geldim
0:1:23 | [CMD] Strike(TR)(7) => /vipler
0:1:24 | [CMD] sezzer(9) => /c dermiþim hsdgaghd
0:1:27 | [CMD] TunlordBeyWT(6) => /d 12 yi geçti saat
0:1:36 | [CMD] nik0tin(13) => /d okula mý 
0:1:39 | [CMD] huso608(0) => /d biz sabahcýyýz
0:1:50 | [CMD] TunlordBeyWT(6) => /d ben açýktan okuyom
0:2:3 | [CMD] nik0tin(13) => /d daha çay koyduk çay iççez karpuz kescez 
0:2:4 | [CMD] Konyali42(11) => /c herqul aslanbeyden önce verecek kiyamet alameti :D
0:2:5 | [CMD] HeRquL(19) => /d açýktan zormu
0:2:10 | [CMD] TunlordBeyWT(6) => /d :D
0:2:14 | [CMD] HeRquL(19) => /c:D
0:2:18 | [CMD] HeRquL(19) => /c :D
0:2:19 | [CMD] TunlordBeyWT(6) => /d vallaha çok kolay hiç yorulmuyon
0:2:25 | [CMD] huso608(0) => /d sýfýr bilgi
0:2:26 | [CMD] TunlordBeyWT(6) => /d arada bir sýnavlara giriyon
0:2:28 | [CMD] HeRquL(19) => /d sýnavlar zor olmuyomu
0:2:28 | sezzer(9): amir
0:2:31 | [CMD] TunlordBeyWT(6) => /d kolay
0:2:36 | [CMD] sezzer(9) => /tamir
0:2:37 | [CMD] TunlordBeyWT(6) => /d kopya olduktan sonra 100
0:2:40 | [CMD] nik0tin(13) => /d bilirsen kolay 
0:2:40 | [CMD] ASLANBEY(10) => /convoykontrol
0:2:47 | [CMD] Strike(TR)(7) => /d siktir lan kopya cektiriyolarmý :D
0:2:48 | [KAMYONCU] TunlordBeyWT, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 265426$, 1 Skor ve 5 EXP Sure: 724 Saniye
0:2:51 | [CMD] HeRquL(19) => /d biliyom az çok evde öðretmen var :D
0:2:52 | [TLT]Ahmet(8) oyuna girdi [IP: 78.171.21.130]
0:2:58 | [CMD] TunlordBeyWT(6) => /d çekiyoz
0:3:3 | [CMD] HeRquL(19) => /d ne kadar puan var senin bitirmene
0:3:6 | [CMD] TunlordBeyWT(6) => /d yara bandýnýn altýna yapýþtýr
0:3:7 | {FFCC00}[TLT]Ahmet(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:3:7 | [CMD] huso608(0) => /bangor sioux[TLT]
0:3:19 | [CMD] [TLT]Ahmet(8) => /v3
0:3:20 | [TLT]Ahmet(8): sa
0:3:21 | [CMD] Strike(TR)(7) => /convoykontrol
0:3:22 | [CMD] TunlordBeyWT(6) => /d strike
0:3:23 | HeRquL(19): as
0:3:23 | [CMD] huso608(0) => /d bu kafayla zor bunun
0:3:24 | [CMD] nik0tin(13) => /d ben lisede cama yazýyodum beyaz yerine 
0:3:25 | [CMD] TunlordBeyWT(6) => /d dene
0:3:26 | [TLT]Ahmet(8): araba komutu ney
0:3:27 | sezzer(9): as
0:3:31 | [CMD] Strike(TR)(7) => /d neyi
0:3:33 | sezzer(9): satýn alman lazým
0:3:36 | HeRquL(19):  /araba
0:3:38 | [TLT]Ahmet(8): meslek
0:3:39 | [CMD] TunlordBeyWT(6) => /d yara bandýnýn altýna kopyayý
0:3:40 | [CMD] nik0tin(13) => /a sýnav baþlayýnca açýyodum ordan týk týk 
0:3:44 | [CMD] Strike(TR)(7) => /sirket
0:3:44 | [CMD] TunlordBeyWT(6) => /d neyse ben çýkýyom bb
0:3:45 | [TLT]Ahmet(8): v.b þeyler nasýl yapýlýyo
0:3:46 | [CMD] nik0tin(13) => /d sýnav baþlayýnca açýyodum ordan týk týk 
0:3:47 | [CMD] [TLT]Ahmet(8) => /araba
0:3:50 | sezzer(9):  /work
0:3:52 | huso608(0): galeriden alýcaksýn beyaz ucak iconu haritdan bak
0:3:53 | [CMD] [TLT]Ahmet(8) => /meslek
0:3:56 | TunlordBeyWT(6): Herkez Allah'a Emanet Olsun ben çýkýyorum
0:3:59 | sezzer(9): bb
0:4:0 | Konyali42(11): bb
0:4:1 | nik0tin(13): ßß 
0:4:2 | ASLANBEY(10): ßß
0:4:2 | TunlordBeyWT(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:4:4 | [CMD] HeRquL(19) => /d tunlord senin diploma için ne kadar kaldý
0:4:7 | [CMD] HeRquL(19) => /d puan
0:4:8 | [CMD] Strike(TR)(7) => /cleanupcars
0:4:10 | [CMD] [TLT]Ahmet(8) => /kemer
0:4:18 | [CMD] Strike(TR)(7) => /convoyayril
0:4:20 | [CMD] Strike(TR)(7) => /convoy
0:4:23 | sezzer(9):  /yardim yaz oku ahmet
0:4:26 | [CMD] Strike(TR)(7) => /admins
0:4:28 | [CMD] [TLT]Ahmet(8) => /yardim
0:4:36 | [CMD] Strike(TR)(7) => /adminol
0:4:37 | [CMD] Strike(TR)(7) => /adminol
0:4:37 | [CMD] Konyali42(11) => /tune
0:4:39 | huso608(0): ßß
0:4:40 | [CMD] Konyali42(11) => /modifiye
0:4:41 | ASLANBEY(10): ßß
0:4:43 | Strike(TR)(7): Ýyi geceler
0:4:46 | sezzer(9): bb
0:4:48 | Strike(TR)(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:4:49 | nik0tin(13): ßß
0:4:53 | [LOCAL]Konyali42(11): kirmizi beyaz <3
0:4:53 | [CMD] Konyali42(11) => /l kirmizi beyaz <3
0:4:55 | [CMD] HeRquL(19) => /a açýktan bitirmenin de yaþý var max 26 yaþýna kadar bitiremessen devlet ceza falan kesiyomþu
0:5:4 | [CMD] HeRquL(19) => /a kesiyomuþ hapis en son dda
0:5:6 | [CMD] huso608(0) => /a hayýr 29 yas
0:5:6 | [LOCAL]DarkFlow(15): týrda ne yazýyo bende
0:5:6 | [CMD] DarkFlow(15) => /l týrda ne yazýyo bende
0:5:14 | [TLT]Ahmet(8): GM
0:5:14 | [LOCAL]sezzer(9): hiçbiþe
0:5:14 | [CMD] sezzer(9) => /l hiçbiþe
0:5:15 | [LOCAL]Konyali42(11): hicbirsey
0:5:15 | [CMD] Konyali42(11) => /l hicbirsey
0:5:16 | [TLT]Ahmet(8): burda
0:5:19 | [CMD] huso608(0) => /a ben onlarý arastýrdým
0:5:19 | [CMD] nik0tin(13) => /a üniversite iþi yaþ yav 
0:5:21 | [CMD] Konyali42(11) => /modifiye
0:5:21 | nik0tin(13): vet
0:5:23 | nik0tin(13): evet
0:5:26 | [TLT]Ahmet(8): meslek aldým týrcýlýk
0:5:26 | [CMD] ASLANBEY(10) => /work
0:5:26 | [CMD] HeRquL(19) => /a iþte 29 dan sonra devlet nakavt etmeye baþlýyomuþ
0:5:26 | [LOCAL]DarkFlow(15): sirket týrýydý neyse
0:5:26 | [CMD] DarkFlow(15) => /l sirket týrýydý neyse
0:5:35 | [CMD] huso608(0) => /a askere cagýrýyor
0:5:36 | [CMD] sezzer(9) => /asiriyuk
0:5:37 | nik0tin(13): evet
0:5:37 | [TLT]Ahmet(8): ama nereye gitceðimi anlayamadým
0:5:37 | [CMD] sezzer(9) => /asiriyuk
0:5:38 | [CMD] DarkFlow(15) => /asiriyuk
0:5:47 | huso608(0): kýrmýzý ucgeni takip et
0:5:48 | nik0tin(13):  /work yazdýn mý 
0:5:48 | [CMD] ASLANBEY(10) => /asiriyuk
0:5:53 | [CMD] [TLT]Ahmet(8) => /work
0:5:58 | [CMD] huso608(0) => /asiriyuk
0:6:11 | [CMD] HeRquL(19) => /a dayý senin için iþ hayatýmý okul hayatýmý
0:6:12 | [CMD] nik0tin(13) => /asay Yeni Baþlayan Oyuncularýmýz "/kurallar" Kabul Ederek 5 Skor 30.000$ Alabilirler.   
0:6:20 | [CMD] HeRquL(19) => /a hangisi ddaha iyi
0:6:27 | [CMD] HeRquL(19) => /asiriyuk
0:6:27 | [CMD] nik0tin(13) => /a okuyup iþ 
0:6:28 | [CMD] [TLT]Ahmet(8) => /kurallar
0:6:31 | [CMD] huso608(0) => /a ikiside zor amk
0:6:34 | [CMD] HeRquL(19) => /a .D
0:6:39 | [CMD] huso608(0) => /a amac para
0:6:44 | [CMD] nik0tin(13) => /a iþ güzel oluyo ama 
0:6:50 | [CMD] huso608(0) => /a 3 hatun 4 aile
0:6:52 | [CMD] nik0tin(13) => /a saðlam olcak 
0:6:55 | [CMD] HeRquL(19) => /a bende mayýs sonu part taym çalýþcam
0:6:59 | [TLT]Ahmet(8): kayit
0:7:2 | [CMD] [TLT]Ahmet(8) => /kayit
0:7:5 | [CMD] [TLT]Ahmet(8) => /yardim
0:7:12 | [CMD] nik0tin(13) => /a ben yazýn otbüs mavinliði :D 
0:7:22 | [CMD] HeRquL(19) => /asiriyuk
0:7:24 | [CMD] HeRquL(19) => /a :D 
0:7:26 | [CMD] nik0tin(13) => /a adminlikten atarlar belki 
0:7:27 | [CMD] HeRquL(19) => /asiriyuk
0:7:34 | [CMD] nik0tin(13) => /a 3 ay yada 2 ay olmam 
0:7:53 | [CMD] HeRquL(19) => /a il il gezcen :D:
0:7:54 | [CMD] nik0tin(13) => /a konuþcam biþey olursa yetkimi vercem 
0:8:10 | [CMD] nik0tin(13) => /a yok yav sabit :D 
0:8:34 | [CMD] nik0tin(13) => /a kendi arabamda güzelde diðer tanýdýklarda uzun yol çekilmiyor 
0:8:42 | [CMD] nik0tin(13) => /a yolcu laz 
0:8:44 | HeRquL(19): 10 k skora son 2k
