0:0:0 | iYasinBey(12): sekey aluysun
0:0:9 | 
0:0:9 | [CMD] iYasinBey(12) => /atamir
0:0:12 | [CMD] iYasinBey(12) => /kemer
0:0:13 | {FFCC00}OD_Gamers(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:0:14 | [CMD] iYasinBey(12) => /asay Arac Res Geliyor... Ýyi Oyunlar...
0:0:14 | [CMD] iYasinBey(12) => /asay Arac Res Geliyor... Ýyi Oyunlar...
0:0:17 | [CMD] OD_Gamers(8) => /sa
0:0:19 | [CMD] huso608(17) => /as
0:0:20 | [CMD] iYasinBey(12) => /respawncars
0:0:20 | [CMD] iYasinBey(12) => /cantazele
0:0:21 | [CMD] iYasinBey(12) => /as
0:0:23 | iYasinBey(12): Gencler Joker Holding User Alýmlarý Vardýr. Ve Haftada En Fazla Para Kasana 3M Veriyoruz. Kalýcý Gelicekler Pm Gelsin.
0:0:27 | [CMD] DarkFlow(15) => /as
0:0:28 | [CMD] [eN]Overlord(7) => /tamir
0:0:37 | Brokoli(13): :D
0:0:40 | Brokoli(13): kombo
0:0:55 | [CMD] iYasinBey(12) => /pm 8 senle kavgalýydýk ama gecmis gecmisde kaldý nasýlsýn?
0:1:4 | [CMD] GeneralRookie(9) => /Tamir
0:1:7 | [CMD] OD_Gamers(8) => /pm 12 nicin kavga etmistik?
0:1:7 | [LOCAL]iYasinBey(12): gidecez asa :D
0:1:7 | [CMD] iYasinBey(12) => /l gidecez asa :D
0:1:9 | [CMD] Brokoli(13) => /pn 17 görevmi yapýon
0:1:12 | [CMD] OD_Gamers(8) => /pm 12 iyim seni sormali
0:1:13 | [CMD] Brokoli(13) => /pm 17 görevmi yapýon
0:1:14 | [CMD] Brokoli(13) => /pm 17 görevmi yapýon
0:1:16 | [CMD] Gezegen(16) => /asiriyuk
0:1:17 | [CMD] Gezegen(16) => /asiriyuk
0:1:18 | [CMD] iYasinBey(12) => /pm 8 iyiym
0:1:19 | [CMD] Gezegen(16) => /asiriyuk
0:1:19 | [CMD] huso608(17) => /pm 13 aynen babam
0:1:25 | [CMD] iYasinBey(12) => /pm 8 aracýmý patlatmýstýn
0:1:31 | [CMD] Brokoli(13) => /pm 17 kargozu olak
0:1:36 | [SirketCHT] [eN]Overlord(7): ! konvoyda þirkete fazla gelir mi geliyordu
0:1:40 | [LOCAL]TheFlash02(6): daha var :d
0:1:40 | [CMD] TheFlash02(6) => /l daha var :d
0:1:40 | [CMD] OD_Gamers(8) => /pm 12 hatirlamiyom kavga ettigimizi ama neyse :D
0:1:42 | [CMD] GeneralRookie(9) => /Tamir
0:1:42 | [SirketCHT] iYasinBey(12): ! gelir
0:1:44 | [CMD] huso608(17) => /pm 13 sagolasýn islerim var su an 
0:1:48 | [CMD] iYasinBey(12) => /pm 8 :D
0:1:51 | iYasinBey(12): Gencler Joker Holding User Alýmlarý Vardýr. Ve Haftada En Fazla Para Kasana 3M Veriyoruz. Kalýcý Gelicekler Pm Gelsin.
0:1:52 | [SirketCHT] [eN]Overlord(7): ! baþtan desene ya
0:1:55 | [CMD] huso608(17) => /dtemizle
0:1:58 | [CMD] [eN]Overlord(7) => /convoy
0:1:59 | GeneralRookie(9): yasin.
0:1:59 | [CMD] Brokoli(13) => /ogorev 16
0:2:2 | [CMD] [eN]Overlord(7) => /convoy
0:2:2 | iYasinBey(12): evet
0:2:4 | [CMD] Brokoli(13) => /rescue
0:2:6 | GeneralRookie(9): kaç kiþisiniz.
0:2:10 | iYasinBey(12): :D
0:2:13 | OD_Gamers(8): ad:D
0:2:13 | [CMD] iYasinBey(12) => /sirket
0:2:14 | [CMD] DarkFlow(15) => /sirket
0:2:14 | GeneralRookie(9): :D
0:2:21 | iYasinBey(12): cidden
0:2:22 | OD_Gamers(8): bu mukemmel rakami bozan adam degildir:D
0:2:23 | iYasinBey(12): yalan yoh
0:2:25 | OD_Gamers(8): bu mukemmel rakami bozan adam degildir:D
