0:0:0 | [CMD] TIRCI(23) => /basarimlar
0:0:2 | [CMD] Qxilver(7) => /rescue harbour
0:0:11 | Asi_Kaptan(20): Beyler Baska Katýlcak Var Mý Konvoya ?
0:0:14 | dostluk(19): iki dakka beklermisin
0:0:18 | TIRCI(23): 231 saat oynamýsm 
0:0:21 | ruthles(0) oyuna girdi [IP: 88.255.181.185]
0:0:25 | Qxilver(7): oha gta5 gibi ýsýnlanma 
0:0:27 | [CMD] DarkFlow(18) => /basarimlar
0:0:29 | huso608(8): bekleriz baba sen iste yeterki
0:0:42 | huso608(8): nereye gidelim
0:0:49 | huso608(8): ahir ??
0:0:51 | {FFCC00}ruthles(0) Otobus Soforu olarak spawn oldu.
0:0:52 | [CMD] Younapo.(9) => /tamir
0:0:57 | Asi_Kaptan(20): Beyler Baska Katýlcak Var Mý Konvoya ?
0:1:1 | [CMD] TIRCI(23) => /gobus
0:1:3 | Qxilver(7): asi akptan
0:1:7 | Asi_Kaptan(20): soyle 
0:1:9 | [CMD] huso608(8) => /duyuru yedek anahtar bulunur 
0:1:12 | [CMD] EvoturK(17) => /adminol
0:1:13 | Qxilver(7): tircci oldum
0:1:14 | dostluk(19): beni las venturas otogara götürürmüsün
0:1:15 | huso608(8): ßß
0:1:15 | DarkFlow(18): ßß
0:1:20 | EvoturK(17): ilk defa kendimi vibratörden banlamayarak çýkacam :D
0:1:21 | huso608(8): tabi ki
0:1:21 | Asi_Kaptan(20): tamam gel yukarý dogru
0:1:25 | Qxilver(7): ok
0:1:26 | [KAMYONCU] Younapo., Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 281352$, 1 Skor ve 5 EXP Sure: 555 Saniye
0:1:26 | ruthles(0): sa beyler
0:1:28 | [CMD] Younapo.(9) => /adminol
0:1:29 | [CMD] EvoturK(17) => /as
0:1:29 | [CMD] Younapo.(9) => /adminol
0:1:29 | [CMD] Asi_Kaptan(20) => /as
0:1:30 | EvoturK(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:1:30 | [CMD] huso608(8) => /as
0:1:31 | [CMD] ruthles(0) => /komutlar
0:1:36 | [CMD] DarkFlow(18) => /c baþlat 
0:1:37 | Younapo.(9): iyi geceler...
0:1:42 | Younapo.(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:1:43 | [CMD] TIRCI(23) => /gobus
0:1:51 | [CMD] huso608(8) => /dtemizle
0:1:56 | [CMD] Asi_Kaptan(20) => /pm 8 id 7 yardým et huso
0:2:2 | Asi_Kaptan(20):  /convoy katýl 
0:2:4 | [CMD] ruthles(0) => /work
0:2:8 | TIRCI(23): bb
0:2:10 | [CMD] huso608(8) => /pm 20 baskasýna yardim ediyom
0:2:18 | [CMD] Asi_Kaptan(20) => /work
0:2:25 | [CMD] DarkFlow(18) => /c heç gelir o boþver 
0:2:25 | [CMD] Qxilver(7) => /convoy
0:2:29 | [CMD] DarkFlow(18) => /motor
0:2:35 | [CMD] Asi_Kaptan(20) => /asiriyuk
0:2:38 | DarkFlow(18): arac res
0:2:39 | Qxilver(7): göreve baslamýssýnýz
0:2:40 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:2:41 | Asi_Kaptan(20): Arac Res
0:2:42 | [CMD] DarkFlow(18) => /asiriyuk
0:2:43 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:2:44 | [CMD] DarkFlow(18) => /asiriyuk
0:2:46 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:2:46 | [CMD] Asi_Kaptan(20) => /convoykontrol
0:2:47 | [CMD] huso608(8) => /respawncars
0:2:48 | [CMD] huso608(8) => /cantazele
0:2:53 | [CMD] Qxilver(7) => /modifiye
0:2:55 | [CMD] huso608(8) => /atamir
0:3:6 | [CMD] Qxilver(7) => /modifiye
0:3:7 | Asi_Kaptan(20): katýlmadýn mý ?
0:3:13 | DarkFlow(18): t/convoyuye
0:3:16 | [CMD] DarkFlow(18) => /convoyuye
0:3:21 | [CMD] DarkFlow(18) => /c yok
0:3:34 | [CMD] Asi_Kaptan(20) => /c ne adam la bu :D
0:3:40 | [CMD] ruthles(0) => /work
0:3:53 | [CMD] DarkFlow(18) => /c youla yola çýkma yolda býrakýr :D
0:4:1 | [CMD] ruthles(0) => /work
0:4:4 | TIRCI(23): herkese iyi aksmalar huso abim kolay gelsin hece mesain basladý bol skorlar paralar herkese 
0:4:4 | [CMD] Asi_Kaptan(20) => /c :D
0:4:4 | [CMD] DarkFlow(18) => /c anlamýssýndýr 
0:4:9 | [CMD] ruthles(0) => /kemer
0:4:12 | huso608(8): tesekkur ederim
0:4:14 | [CMD] TIRCI(23) => /adminol
0:4:15 | [CMD] TIRCI(23) => /adminol
0:4:17 | huso608(8): ßß
0:4:31 | TIRCI(23) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:4:55 | Asi_Kaptan(20): selviseven cocuk :d
0:5:9 | [CMD] ruthles(0) => /modifiye
0:6:13 | [SirketCHT] Asi_Kaptan(20): ! ne olduý 
0:6:16 | [CMD] DarkFlow(18) => /pm 8 huso konvoya gelceksen docka gelebilirsin 
0:6:24 | [CMD] ruthles(0) => /komutlar
0:6:31 | [CMD] huso608(8) => /pm 18 sagolasýn dusuncen icin yardým ediyorum
0:6:48 | DarkFlow(18): 7 feri gel
0:6:57 | Asi_Kaptan(20): ney ?
0:7:3 | huso608(8): geri gel
0:7:6 | DarkFlow(18): dorsesi çýkmýs
0:7:12 | DarkFlow(18): neyse
0:7:15 | Asi_Kaptan(20): kimin ?
0:7:18 | [CMD] ruthles(0) => /komutlar
0:7:45 | DarkFlow(18): kaçtý alamayýnca :D
0:8:8 | Asi_Kaptan(20): @7  gorev yapamazsýn kasasýz
0:8:29 | [CMD] DarkFlow(18) => /ogorev 7
0:8:31 | [CMD] ruthles(0) => /komutlar
0:8:34 | DarkFlow(18): görev yok ztn
0:8:42 | Asi_Kaptan(20): :S
0:8:44 | dostluk(19): teþekkür ederim
0:8:52 | [CMD] ruthles(0) => /fps
0:8:54 | huso608(8): Rica Ederim
0:9:0 | [OTOBUSCU] dostluk, Ankara Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 23026$ ve 3 Skor Sure: 3476 Saniye
0:9:2 | [CMD] huso608(8) => /cleanupcars
0:9:7 | [CMD] huso608(8) => /spec 0
0:9:14 | [CMD] huso608(8) => /spec 7
0:9:17 | [CMD] ruthles(0) => /mkapat
0:9:22 | [CMD] ruthles(0) => /komutlar
0:9:30 | [CMD] huso608(8) => /spec 0
0:9:32 | ruthles(0) oyundan cIktI (Hata/Crash) (IP: 88.255.181.185)
0:9:33 | huso608(8) Oduncu olarak spawn oldu.
0:9:37 | Asi_Kaptan(20): arac res
0:9:38 | [CMD] huso608(8) => /rescue
0:9:41 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:9:43 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:9:46 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
0:9:48 | [CMD] huso608(8) => /cantazele
0:10:8 | [CMD] huso608(8) => /duyuru hepinize sonsuz tesekkurlerimi sunarim
0:10:12 | [CMD] Asi_Kaptan(20) => /pm 7 ilerde kasalý arac al
0:10:23 | [CMD] huso608(8) => /work
0:10:25 | [CMD] dostluk(19) => /modifiye
0:10:28 | DarkFlow(18): eyw bizde sana sunarýz
0:10:34 | DarkFlow(18): :)
0:10:59 | Asi_Kaptan(20):  kapalý kasa al 
0:11:14 | Asi_Kaptan(20): qsilver kapalý kasa al
0:11:18 | selviyiseviyorum(22) oyundan cIktI (Hata/Crash) (IP: 95.10.24.175)
0:11:33 | [CMD] DarkFlow(18) => /c ugraþtýrýr o salla
0:11:35 | Qxilver(7): geçti gali
0:11:43 | DarkFlow(18): ne geçti
0:11:44 | Asi_Kaptan(20): huso ya soyle versin sana
0:11:51 | Asi_Kaptan(20): tren ;)
0:11:54 | DarkFlow(18): :D
0:11:55 | Qxilver(7): bþ ver o kadar önemli deil
0:12:31 | dostluk(19): otobüslerde nasýl sinyal veriyoz
0:12:35 | Asi_Kaptan(20):  q ve e
0:12:39 | DarkFlow(18):  2 q e
0:12:41 | huso608(8): q e 2 
0:12:46 | [CMD] huso608(8) => /work
0:12:50 | [CMD] dostluk(19) => /work
0:12:56 | [CMD] huso608(8) => /duyuru baba ne versin
0:13:3 | Qxilver(7): töbeee xd
0:13:5 | Asi_Kaptan(20): skor ve para :D
0:13:6 | DarkFlow(18): :D
0:13:29 | [CMD] huso608(8) => /duyuru olsa verecekte babada da nakit problem var
0:13:46 | [CMD] huso608(8) => /duyuru 3 hatun var kolaymi
0:13:55 | DarkFlow(18): çabuk ver
0:13:58 | Qxilver(7): oneydi xd
0:14:0 | Asi_Kaptan(20): vermem :D 
0:14:5 | [CMD] Asi_Kaptan(20) => /c vermiyorum :D
0:14:10 | Jodor(0) oyuna girdi [IP: 88.226.218.167]
0:14:12 | [CMD] DarkFlow(18) => /c :D
0:14:14 | [CMD] huso608(8) => /duyuru 3 hatun emek ister yemek ister gezmek ister
0:14:14 | dostluk(19): yolda eþlik etmek isteyen varmý
0:14:20 | 
