0:0:4 | [CMD] GeneralRookie(8) => /work
0:0:5 | DarkFlow(11): evet
0:0:9 | ahmut(10) oyuna girdi [IP: 78.175.178.103]
0:0:9 | huso608(7): kiralamýs oldugunuz arabayý bir daha kiralamaya gerek yok
0:0:11 | [CMD] Gezegen(9) => /gobus
0:0:16 | [CMD] huso608(7) => /eviolustur
0:0:18 | 
0:0:18 | [CMD] Gezegen(9) => /m2
0:0:21 | [CMD] huso608(7) => /evisil
0:0:23 | [CMD] ManyakErman(6) => /convoy
0:0:29 | 
0:0:35 | [CMD] ManyakErman(6) => /convoy
0:0:38 | [CMD] Gezegen(9) => /cevir
0:0:38 | [CMD] ahmut(10) => /rescue
0:0:41 | [CMD] huso608(7) => /yedekal
0:0:42 | [CMD] [S]eas(19) => /vtamir
0:0:44 | [CMD] huso608(7) => /yedekgi
0:0:46 | [CMD] ManyakErman(6) => /pm 8 görev ne zaman biter senin
0:0:46 | [CMD] huso608(7) => /yedekgir
0:0:50 | [CMD] Gezegen(9) => /vtamir
0:0:55 | [CMD] huso608(7) => /eviolustur
0:0:57 | ManyakErman(6): taksi mesleði neden yok
0:1:2 | [CMD] huso608(7) => /yedekal
0:1:8 | huso608(7):   /meslekler
0:1:10 | huso608(7):   /meslekler
0:1:13 | [CMD] ManyakErman(6) => /meslekler
0:1:18 | [CMD] ManyakErman(6) => /meslekler
0:1:19 | [CMD] huso608(7) => /evisil
0:1:26 | ManyakErman(6): geçersiz komut diyor
0:1:27 | [CMD] GeneralRookie(8) => /pm 6 2 dk
0:1:34 | [CMD] ahmut(10) => /saat 5
0:1:42 | [CMD] huso608(7) => /spec 6
0:1:51 | huso608(7): aractan inip /meslek
0:1:51 | [CMD] ManyakErman(6) => /adminol
0:1:56 | [CMD] ahmut(10) => /meslek
0:1:56 | huso608(7): ßß
0:2:3 | [CMD] [S]eas(19) => /vtamir
0:2:11 | [CMD] huso608(7) => /specoff
0:2:11 | {FFCC00}huso608(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:2:14 | ManyakErman(6): iyi geceler arkadaþlar kendinize iyi bakýn yarýn görüþürüz
0:2:19 | [CMD] huso608(7) => /yedekgir
0:2:21 | [CMD] ahmut(10) => /pcc
0:2:23 | ManyakErman(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:2:29 | [CMD] Gezegen(9) => /gobus
0:2:32 | [CMD] Gezegen(9) => /balon
0:2:35 | GeneralRookie(8) [S]eas(19)'a 50000$ para gönderdi
0:2:35 | [CMD] GeneralRookie(8) => /paragonder 19 50000
0:2:36 | [CMD] ahmut(10) => /kemer
0:2:40 | [CMD] ahmut(10) => /work
0:2:42 | [CMD] huso608(7) => /eviolustur
0:2:43 | [CMD] Gezegen(9) => /m2
0:2:46 | [S]eas(19): ?a
0:2:49 | [CMD] CemalAdiyaman(15) => /cevir
0:2:52 | [CMD] [S]eas(19) => /vtamir
0:2:53 | [CMD] ahmut(10) => /texktapat
0:2:53 | [CMD] DarkFlow(11) => /bb
0:2:55 | [CMD] CemalAdiyaman(15) => /getdorse
0:2:58 | [CMD] ahmut(10) => /textkapat
0:3:3 | [CMD] huso608(7) => /isyerisil
0:3:10 | [CMD] CemalAdiyaman(15) => /goreviptal
0:3:13 | [CMD] CemalAdiyaman(15) => /meslek
0:3:15 | [CMD] CemalAdiyaman(15) => /meslek
0:3:16 | ahmut(10): s
0:3:18 | [LOCAL]GeneralRookie(8): seas
0:3:18 | [CMD] GeneralRookie(8) => /l seas
0:3:19 | [KAMYONCU] DarkFlow, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 844056$, 1 Skor ve 5 EXP Sure: 471 Saniye
0:3:21 | [CMD] CemalAdiyaman(15) => /rescue
0:3:23 | [LOCAL]GeneralRookie(8): sen tek baþýna devam et hacý
