0:0:3 | [CMD] Jodor(16) => /vtamir
0:0:3 | [CMD] DarkFlow(6) => /uzan
0:0:5 | [CMD] Jodor(16) => /araba
0:0:15 | DarkFlow(6): hayda
0:0:16 | DarkFlow(6): :D
0:0:20 | Jodor(16): burda kalsýn
0:0:34 | [SirketCHT] Jodor(16): ! þirketimize yakýþýr
0:0:39 | [SirketCHT] DarkFlow(6): ! ayn 
0:0:51 | [CMD] Jodor(16) => /31
0:0:58 | [CMD] DarkFlow(6) => /ise
0:1:0 | [SirketCHT] Jodor(16): ! sen de önden ver
0:1:0 | [CMD] DarkFlow(6) => /31
0:1:4 | [CMD] Jodor(16) => /31
0:1:6 | DarkFlow(6): :D
0:1:20 | DarkFlow(6): þifalý su .D
0:1:22 | [SirketCHT] Jodor(16): ! güzel oldu ha
0:1:30 | [SirketCHT] DarkFlow(6): ! :D
0:1:35 | [CMD] DarkFlow(6) => /ise
0:1:40 | [SirketCHT] Jodor(16): ! þirket reklamý :)
0:2:22 | DarkFlow(6): :D
0:2:29 | Jodor(16): araçtasýn :D
0:2:35 | DarkFlow(6): he :D
0:3:14 | Jodor(16): sana bakýyorum
0:3:20 | DarkFlow(6): göremen :D
0:3:35 | Jodor(16): insene araçtan
0:3:47 | Jodor(16): oha tp oldun :D
0:3:50 | DarkFlow(6): :D
0:3:50 | Jodor(16): hack
0:3:55 | DarkFlow(6): hehe
0:4:0 | Jodor(16): video kanýtlý
0:4:5 | DarkFlow(6): :D
0:4:12 | [SirketCHT] Jodor(16): ! harbi aha
0:4:18 | [SirketCHT] Jodor(16): ! biri yapsa olur ha
0:4:22 | [SirketCHT] DarkFlow(6): ! evet
0:4:51 | [SirketCHT] Jodor(16): ! ortaya çýk
0:5:4 | [CMD] Jodor(16) => /araba
0:5:17 | [CMD] Jodor(16) => /vtamir
0:5:32 | [SirketCHT] DarkFlow(6): ! polisten saklanmak için ideal :D 
0:5:50 | [SirketCHT] Jodor(16): ! aynen ya bi ara öyle yapsana :D
0:5:55 | [SirketCHT] DarkFlow(6): ! :D
0:6:3 | [SirketCHT] Jodor(16): ! polis ceza keser 
0:6:20 | [CMD] Ryder[Tr](17) => /goreiptal
0:6:21 | [SirketCHT] DarkFlow(6): ! göremiyo ama denemek lazým 
0:6:22 | [LOCAL]Jodor(16): uye sayýlarý düþmüþ
0:6:22 | [CMD] Jodor(16) => /l uye sayýlarý düþmüþ
0:6:27 | [SirketCHT] DarkFlow(6): ! kaç 
0:6:28 | [CMD] Ryder[Tr](17) => /goreviptal
0:6:30 | [CMD] Ryder[Tr](17) => /rescue
0:6:32 | [SirketCHT] DarkFlow(6): ! 19 du  
0:6:35 | [SirketCHT] Jodor(16): ! 15 
0:6:40 | Ryder[Tr](17): ?
0:6:45 | [SirketCHT] DarkFlow(6): ! çok duþmus 
0:6:51 | DarkFlow(6): nbr
0:7:0 | [CMD] Ryder[Tr](17) => /skorgonder
0:7:4 | Ryder[Tr](17): skor gitmiyorm
0:7:6 | Ryder[Tr](17): ?
0:7:16 | DarkFlow(6): skor ?
0:7:23 | DarkFlow(6): oha
0:7:38 | Jodor(16): ne oldu
0:7:41 | DarkFlow(6): 100 e merdiven dayamýþ
0:7:44 | DarkFlow(6): :D
0:7:53 | [SirketCHT] Jodor(16): ! üye çok orada
0:7:58 | [SirketCHT] DarkFlow(6): ! ayn 
0:8:10 | [SirketCHT] Jodor(16): ! sw ye yeni baþlayan herkesi alýyorlar
0:8:17 | [SirketCHT] DarkFlow(6): ! eski þirket 
0:8:23 | [SirketCHT] Jodor(16): ! benim gibi senin gibi devam edenler kasýyor
0:8:32 | [SirketCHT] Jodor(16): ! kasmayanlarýn paralarý da ceplere :)
0:8:36 | Ryder[Tr](17): aeo
0:8:38 | Ryder[Tr](17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:38 | [SirketCHT] Jodor(16): ! sonradan girmeyenler
0:8:38 | [SirketCHT] DarkFlow(6): ! kasmayan bakýlýp atýlýyor orda ama :D 
0:8:49 | DarkFlow(6): ßß
0:8:52 | [SirketCHT] Jodor(16): ! þirket daveti gönderdin mi
0:8:58 | [SirketCHT] DarkFlow(6): ! kime
0:9:4 | [SirketCHT] DarkFlow(6): ! yok 
0:9:4 | [SirketCHT] Jodor(16): ! kasmayan deðil
0:9:17 | [SirketCHT] Jodor(16): ! þirkete son girenleri atýyorlar
0:9:24 | [SirketCHT] Jodor(16): ! yani oyuna girmeyenleri
0:9:38 | [SirketCHT] Jodor(16): ! mesela adam 1 ay girmemiþ hüso þutluyordu
0:9:43 | [SirketCHT] Jodor(16): ! ya da 1 hafta falan
0:9:50 | [SirketCHT] DarkFlow(6): ! hmm
0:10:0 | [SirketCHT] Jodor(16): ! bizde de öyle :D
0:10:30 | Jodor(16): para kesintisi olacak
0:10:34 | DarkFlow(6): evet
0:10:44 | [SirketCHT] Jodor(16): ! nefi týrcý yap
0:10:48 | [CMD] DarkFlow(6) => /sirket
0:10:49 | [CMD] Jodor(16) => /sirket
0:11:0 | [SirketCHT] Jodor(16): ! hulk týcý
0:11:3 | [CMD] Jodor(16) => /sirket
0:11:4 | [CMD] DarkFlow(6) => /sirket
0:11:20 | [CMD] Jodor(16) => /sirket
0:11:38 | [SirketCHT] Jodor(16): ! mesela yolcu
0:11:41 | [CMD] Jodor(16) => /sirket
0:11:42 | [SirketCHT] DarkFlow(6): ! geri kalanlar iyi 
0:11:45 | [CMD] DarkFlow(6) => /sirket
0:11:55 | [SirketCHT] Jodor(16): ! babayolcu mesela
0:11:58 | [SirketCHT] DarkFlow(6): ! týrcý o
0:12:11 | [SirketCHT] Jodor(16): ! yok yok girmedi mi bütün para þirkete :)
0:12:15 | [SirketCHT] Jodor(16): ! yeni gelenleri al
0:12:17 | [SirketCHT] DarkFlow(6): ! :D
0:12:36 | [SirketCHT] Jodor(16): ! 1hafta girmeyenler gg
0:12:39 | [SirketCHT] DarkFlow(6): ! girmesse kasaya kalýyor 
0:12:51 | [SirketCHT] DarkFlow(6): ! kasa afffetmez :)
0:12:57 | [SirketCHT] Jodor(16): ! pazar sýfýrla hepsini
0:13:1 | [SirketCHT] Jodor(16): ! girmeyenleri :D
0:13:8 | [SirketCHT] Jodor(16): ! ss al ama
0:13:9 | [SirketCHT] DarkFlow(6): ! tmm
0:13:15 | [SirketCHT] Jodor(16): ! maaþlarýný isterlerse ben veririm
0:13:22 | [SirketCHT] DarkFlow(6): ! ok 
0:13:25 | [SirketCHT] Jodor(16): ! bize þirketiçi para lazým.
0:13:48 | [SirketCHT] Jodor(16): ! 40mde býrakayým bu hafta
0:13:54 | [SirketCHT] DarkFlow(6): ! hulk bayadýr görünmüyo 
0:13:57 | [SirketCHT] Jodor(16): ! cuma cumartesi pazar kasarým
0:14:11 | [SirketCHT] Jodor(16): ! evet
0:14:27 | [CMD] Jodor(16) => /vtamir
0:14:57 | Jodor(16): çýkma
0:14:58 | DarkFlow(6): :D
0:15:2 | [CMD] Jodor(16) => /balon
0:15:52 | [SirketCHT] Jodor(16): ! neyse dark ben çýkýyorum
0:15:57 | [SirketCHT] DarkFlow(6): ! tmm 
0:16:0 | [SirketCHT] Jodor(16): ! bugün niye böyle sw sessiz anlamadým
0:16:0 | [SirketCHT] DarkFlow(6): ! görüsürüz
0:16:3 | [SirketCHT] Jodor(16): ! görüþürz
0:16:5 | Jodor(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:16:15 | [CMD] DarkFlow(6) => /gobus
0:16:22 | [CMD] DarkFlow(6) => /sirket
0:17:14 | [CMD] DarkFlow(6) => /sirket
0:17:22 | [CMD] DarkFlow(6) => /sirket
0:17:26 | [CMD] DarkFlow(6) => /rescue
0:17:41 | DarkFlow(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:39:59 | ronaldo561(6) oyuna girdi [IP: 190.203.43.240]
0:40:22 | 
