0:0:0 | [CMD] HastasyzBaba(16) => /sarkilar
0:0:0 | [CMD] Freezer3543(10) => /work
0:0:5 | [LOCAL]sezzer(8): vermez olaydým
0:0:5 | [CMD] sezzer(8) => /l vermez olaydým
0:0:6 | DarkFlow(15): bom :D
0:0:7 | [CMD] Konyali42(9) => /tamir
0:0:7 | [CMD] eren1616(13) => /dcar
0:0:8 | GravLaunch(6): o ney
0:0:9 | HastasyzBaba(16): sarki listesine nasýl bakýyoruz
0:0:9 | GravLaunch(6): kuþ
0:0:9 | [CMD] eren1616(13) => /boat
0:0:9 | [CMD] VIPTRUCKS(7) => /work
0:0:10 | GravLaunch(6): kedi
0:0:11 | eren1616(13) Gemici olarak spawn oldu.
0:0:13 | GravLaunch(6): süpermen
0:0:13 | [CMD] Konyali42(9) => /work
0:0:14 | huso608(11): Týrcýlýkta bizden hýzlýsý mezarda yeni gencler hýzla yetisiyor
0:0:16 | GravLaunch(6): hayýr o bir uçak
0:0:18 | [CMD] Konyali42(9) => /manuelvites
0:0:19 | [CMD] eren1616(13) => /boat
0:0:21 | [CMD] Konyali42(9) => /manuelvites
0:0:21 | [LOCAL]sezzer(8): çay alýp geliyom
0:0:21 | [CMD] sezzer(8) => /l çay alýp geliyom
0:0:22 | [CMD] DarkFlow(15) => /rescue
0:0:22 | VIPTRUCKS(7): huseyin abi
0:0:27 | [CMD] eren1616(13) => /dcar
0:0:31 | VIPTRUCKS(7): 100m param var 24 levelim en iyi araba hangisi
0:0:31 | eren1616(13) Gemici olarak spawn oldu.
0:0:34 | [LOCAL]CcCAtakan1907(14): hani içicek yoktu
0:0:34 | [CMD] CcCAtakan1907(14) => /l hani içicek yoktu
0:0:37 | GravLaunch(6): savanna
0:0:38 | [CMD] eren1616(13) => /plane
0:0:42 | huso608(11): Y tusuna basýyoruz Muzik ise muzikler Radyo icin Rafyo yu kullanabilirsiniz
0:0:45 | [CMD] DarkFlow(15) => /work
0:0:48 | [CMD] eren1616(13) => /dcar
0:0:51 | [CMD] eren1616(13) => /god
0:0:52 | GravLaunch(6): 152 basýyor
0:0:52 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarkýlarýnýz için /isteksarki <id> komutunu kullanabilirsiniz.
0:0:52 | [CMD] eren1616(13) => /god
0:0:53 | [CMD] Konyali42(9) => /cevir
0:0:53 | eren1616(13) Gemici olarak spawn oldu.
0:0:55 | [CMD] Konyali42(9) => /tamir
0:0:56 | Fublary3003(12): benim 40 m motor 40 m satsam 80 m bende 24 lvlm
0:0:56 | GravLaunch(6): lowrider seviyorsan
0:0:59 | [CMD] GravLaunch(6) => /work
0:1:2 | huso608(11): galeriden bakabilirsin san fierrodan kirala hangisi hosuna gitti al birini
0:1:3 | VIPTRUCKS(7): banshee kaç leveldi
0:1:7 | GravLaunch(6): 30 galiba
0:1:8 | [CMD] eren1616(13) => /plane
0:1:15 | [LOCAL]Fublary3003(12): 30
0:1:15 | [CMD] Fublary3003(12) => /l 30
0:1:20 | [CMD] eren1616(13) => /modifiye
0:1:21 | [CMD] GravLaunch(6) => /tamir
0:1:25 | GravLaunch(6): ahaa
0:1:27 | [CMD] eren1616(13) => /modifiye
0:1:33 | [CMD] GravLaunch(6) => /sac
0:1:33 | [CMD] Fublary3003(12) => /sac
0:1:36 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr.
0:1:38 | [CMD] VIPTRUCKS(7) => /sac
0:1:43 | GravLaunch(6): çilekli lolipopp
0:1:44 | [CMD] DarkFlow(15) => /work
0:1:57 | [CMD] GravLaunch(6) => /work
0:2:0 | [CMD] DarkFlow(15) => /stamir
0:2:0 | VIPTRUCKS(7): fublary sen sür
0:2:1 | [LOCAL]CcCAtakan1907(14): hani içicek yoktu
0:2:1 | [CMD] CcCAtakan1907(14) => /l hani içicek yoktu
0:2:2 | [CMD] eren1616(13) => /fly
0:2:4 | Konyali42 sezzer'i öldürdü. Oldurme Sekli: 49
0:2:8 | [CMD] eren1616(13) => /slap eren
0:2:9 | [CMD] eren1616(13) => /fly
0:2:10 | [LOCAL]sezzer(8): wtf
0:2:10 | [CMD] sezzer(8) => /l wtf
0:2:13 | [CMD] eren1616(13) => /slap eren
0:2:13 | [CMD] eren1616(13) => /slap eren
0:2:13 | 
0:2:14 | [LOCAL]sezzer(8): öldüm la
0:2:14 | [CMD] sezzer(8) => /l öldüm la
0:2:15 | [CMD] eren1616(13) => /fly
0:2:15 | GravLaunch(6): deðil
0:2:16 | [LOCAL]CcCAtakan1907(14): çabuk kargoluyosun onu
0:2:16 | [CMD] CcCAtakan1907(14) => /l çabuk kargoluyosun onu
0:2:19 | Konyali42(9): nere gitti la bu
0:2:19 | [CMD] sezzer(8) => /rescue
0:2:22 | Konyali42(9): nereye gittin
0:2:22 | GravLaunch(6): bu zamanlarda sultanlýk
0:2:27 | FurkanBey(17) oyuna girdi [IP: 88.230.133.2]
0:2:28 | sezzer(8): olm öldüm lan
0:2:31 | Konyali42(9): nasil
0:2:32 | [CMD] HastasyzBaba(16) => /meslek
0:2:34 | sezzer(8): ragdoll mod u kaldýrmayý unutmuþum
0:2:36 | VIPTRUCKS(7): rehberken  1 skor bile kasamadým  daðýtýlanlar hariç
0:2:36 | [CMD] HastasyzBaba(16) => /goreviptal
0:2:37 | sezzer(8): fýrladým
0:2:38 | [CMD] eren1616(13) => /cleanupcars
0:2:38 | GravLaunch(6): benim zamanýmda bir ben bir de 40-50 istekli istek sayfasý
0:2:39 | sezzer(8): öldüm
0:2:39 | [CMD] HastasyzBaba(16) => /meslek
0:2:40 | 
0:2:41 | {FFCC00}HastasyzBaba(16) {FFFFFF}Kamyoncu olarak spawn oldu.
0:2:42 | [CMD] DarkFlow(15) => /work
0:2:44 | {FFCC00}FurkanBey(17) {FFFFFF}Kamyoncu olarak spawn oldu.
0:2:47 | [CMD] FurkanBey(17) => /sa
0:2:48 | [CMD] VIPTRUCKS(7) => /as
0:2:49 | [CMD] GravLaunch(6) => /as
0:2:50 | [CMD] huso608(11) => /as
0:2:50 | VIPTRUCKS(7): hg
0:2:51 | GravLaunch(6): yazdýðýmý gördün mü
0:2:52 | FurkanBey(17): t
0:2:53 | DarkFlow(15): alk slm
0:2:55 | [CMD] GravLaunch(6) => /work
0:2:56 | sezzer(8): sen bitir modu silip gelcem
0:2:56 | [CMD] FurkanBey(17) => /araba
0:2:57 | [CMD] eren1616(13) => /admins
0:2:58 | [CMD] CcCAtakan1907(14) => /pm 8 çabuk kargoluyosun o çayý.
0:2:59 | [CMD] Freezer3543(10) => /tamir
0:2:59 | [CMD] Konyali42(9) => /cevir
0:3:1 | VIPTRUCKS(7): furkan reis sen niye iþi býraktýn
0:3:1 | [CMD] Konyali42(9) => /tamir
0:3:2 | [CMD] eren1616(13) => /a hüseyin abi
0:3:6 | [CMD] huso608(11) => /a buyur
0:3:6 | [CMD] sezzer(8) => /pm 14 asdghjghad
0:3:6 | GravLaunch(6): vip
0:3:7 | {FFCC00}CcCAtakan1907(14) {FFFFFF}Kamyoncu olarak spawn oldu.
0:3:7 | [CMD] FurkanBey(17) => /kemer
0:3:9 | GravLaunch(6): benim zamanýmda bir ben bir de 40-50 istekli istek sayfasý
0:3:10 | [CMD] CcCAtakan1907(14) => /goto 8
0:3:10 | [CMD] eren1616(13) => /a 4lv de neler açýlýyor yeni
0:3:13 | FurkanBey(17): dinlencem biraz :D 
0:3:16 | [CMD] CcCAtakan1907(14) => /31
0:3:21 | [CMD] eren1616(13) => /bike
0:3:22 | [CMD] sezzer(8) => /pm 18 knk bitirince söle modu silip gelcem
0:3:26 | [CMD] eren1616(13) => /dcar
0:3:28 | [CMD] eren1616(13) => /dcar
0:3:28 | GravLaunch(6): benim zamanýmda rehberlik sultanlýk dý .d
0:3:29 | VIPTRUCKS(7): :D
0:3:29 | FurkanBey(17): mc oynuyorum þu aralar 
0:3:30 | [CMD] sezzer(8) => /pm 9 knk bitirince söle modu silip gelcem
0:3:30 | [CMD] huso608(11) => /a pek fazla komut yok sadece etk yapabiliyorsun
0:3:31 | eren1616(13) Gemici olarak spawn oldu.
0:3:33 | [CMD] eren1616(13) => /meslek
0:3:35 | [CMD] DarkFlow(15) => /work
0:3:37 | [CMD] CcCAtakan1907(14) => /animkapat
0:3:39 | [CMD] CcCAtakan1907(14) => /animkapat
0:3:39 | [CMD] GravLaunch(6) => /skapt
0:3:40 | [CMD] CcCAtakan1907(14) => /animkapat
0:3:44 | VIPTRUCKS(7): oha öldüm
0:3:45 | [CMD] CcCAtakan1907(14) => /31
0:3:45 | 
0:3:47 | DarkFlow(15): kaptýk galiba iþi
0:3:48 | [CMD] GravLaunch(6) => /skapat
0:3:48 | {FFCC00}eren1616(13) {FFFFFF}Kamyoncu olarak spawn oldu.
0:3:51 | GravLaunch(6): aynen
0:3:55 | [CMD] GravLaunch(6) => /work
0:3:58 | [CMD] DarkFlow(15) => /stamir
0:3:58 | [CMD] eren1616(13) => /bike
0:4:3 | GravLaunch(6): bekle iniþ yapma
0:4:5 | GravLaunch(6): gaçam öyle in
0:4:7 | DarkFlow(15): :D
0:4:9 | [CMD] VIPTRUCKS(7) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr. 
0:4:11 | GravLaunch(6): gaçtým in
0:4:12 | Fublary3003(12): vip
0:4:15 | VIPTRUCKS(7): he
0:4:18 | Fublary3003(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:4:20 | [CMD] FurkanBey(17) => /kemer
0:4:22 | [CMD] FurkanBey(17) => /sac
0:4:24 | [CMD] Konyali42(9) => /otomatikvites
0:4:25 | [CMD] FurkanBey(17) => /bonus
0:4:26 | [CMD] eren1616(13) => /myskin 121
0:4:26 | [CMD] VIPTRUCKS(7) => /meslek
0:4:28 | [CMD] CcCAtakan1907(14) => /isteksarki 1553
0:4:29 | {FFCC00}VIPTRUCKS(7) Otobus Soforu olarak spawn oldu.
